source_path,file,folder,strategy,symbol,rows,valid_rows,profitable_rows,selection_rows,profit_median,profit_max,dd_median,dd_min,pf_median,recovery_median,trades_median,best_pass,best_profit,best_pf,best_recovery,best_sharpe,best_dd_pct,best_trades,best_score,best_risk_band
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed,analyzed,,2422,2422,2017,760,3860.3450000000003,17195.75,18.76245,6.4526,1.1228155000000002,1.264904,661.0,2295.0,15819.1,1.400321,5.18416,4.277232,11.7964,688.0,84.57,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_compliant_candidates.csv,pass_1_plan_compliant_candidates.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed,analyzed,,3,3,3,0,3662.79,3662.79,12.9559,12.9559,1.175431,1.972912,483.0,1432.0,3662.79,1.175431,1.972912,1.745573,12.9559,483.0,71.66,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed,analyzed,,2419,2419,2014,760,3862.17,17195.75,18.7753,6.4526,1.122734,1.260598,661.0,2395.0,15817.42,1.401633,5.18259,4.297886,11.799,689.0,84.57,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed,analyzed,,2288,2288,1883,730,3795.55,17195.75,19.051250000000003,6.4526,1.115299,1.1942755,666.0,2295.0,15819.1,1.400321,5.18416,4.277232,11.7964,688.0,84.57,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_valid_candidates.csv,pass_1_valid_candidates.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed,analyzed,,134,134,134,30,4188.01,8479.05,15.46955,8.3005,1.1541445000000001,1.768913,506.0,1074.0,8479.05,1.285731,4.128932,2.92494,11.3402,494.0,83.2,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw,pass_1_raw,,2422,2422,2017,760,3860.3450000000003,17195.75,18.76245,6.4526,1.1228155000000002,1.264904,661.0,2395.0,15817.42,1.401633,5.18259,4.297886,11.799,689.0,84.57,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_2_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_2_raw,pass_2_raw,,1623,1623,1483,389,2645.31,10074.07,18.7305,6.866,1.10867,1.023477,455.0,1568.0,10074.07,1.442046,4.513068,4.146669,10.6026,464.0,85.9,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization\OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_215857.csv,OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_215857.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization,optimization,,3,3,3,0,3662.79,3662.79,12.9559,12.9559,1.175431,1.972912,483.0,1432.0,3662.79,1.175431,1.972912,1.745573,12.9559,483.0,71.66,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization\OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_220742.csv,OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_220742.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization,optimization,,3,3,3,0,3662.79,3662.79,12.9559,12.9559,1.175431,1.972912,483.0,1432.0,3662.79,1.175431,1.972912,1.745573,12.9559,483.0,71.66,Conservative
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization\OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_221958.csv,OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_221958.csv,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization,optimization,,3,3,3,0,3662.79,3662.79,12.9559,12.9559,1.175431,1.972912,483.0,1432.0,3662.79,1.175431,1.972912,1.745573,12.9559,483.0,71.66,Conservative
