Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSwingPeriod,InpRiskReward,InpLotMultiplier,InpMinGapPts,InpTakeProfitUSD,InpDailyTargetUSD,InpSLBufferPts,InpMaxRecoverySteps,reject_reasons,score
2204,13460.15,19.823490,1.372148,8.868022,3.965344,7.3650,679,7,2.0,1.0,100,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,178.2910
2053,13467.44,19.775977,1.369663,8.872825,3.960087,7.3629,681,7,2.0,1.0,100,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,178.2583
1929,13403.62,19.740236,1.370876,8.840097,3.945135,7.3775,679,7,2.0,1.0,100,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,177.5823
2222,13057.41,20.181468,1.372726,8.548335,4.144651,7.3722,647,7,2.0,1.2,450,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,174.6419
1939,12963.88,20.161555,1.371769,8.541062,4.112186,7.3667,643,7,2.0,1.0,450,120,300,30,7,MAX_RECOVERY_STEPS_GT_3,174.0773
1980,13018.00,20.277259,1.371403,8.522534,4.124488,7.3913,642,7,2.0,1.0,450,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,173.8929
1846,11485.65,18.921993,1.347565,8.197829,3.703940,6.7580,607,7,2.0,1.0,450,120,220,45,5,MAX_RECOVERY_STEPS_GT_3,163.4763
1583,11142.43,17.771021,1.320194,8.395948,3.581025,7.6606,627,7,2.0,1.0,450,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,163.2919
1923,11440.99,18.817418,1.348425,8.166361,3.694773,6.7718,608,7,2.0,1.0,450,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,162.9181
2216,13137.78,19.377257,1.356179,8.299135,3.691418,10.2813,678,7,2.0,1.2,100,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,162.7845
1768,11081.88,17.674450,1.318666,8.348498,3.558408,8.1456,627,7,2.0,1.0,450,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,161.6882
1845,11775.96,17.549866,1.340003,8.098731,3.626520,7.2460,671,6,2.0,1.2,100,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,161.4248
1713,11794.95,17.604403,1.339815,8.113465,3.597932,7.2382,670,6,2.0,1.2,100,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,161.3579
1196,11803.12,17.642930,1.338314,8.120761,3.592472,7.2343,669,6,2.0,1.2,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,161.3547
1063,11140.49,17.767927,1.318318,8.243605,3.572695,7.7940,627,7,2.0,1.0,450,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,160.6967
1716,11405.97,18.104714,1.320289,8.201545,3.617166,7.9062,630,7,2.0,1.0,450,120,300,30,5,MAX_RECOVERY_STEPS_GT_3,160.6205
1885,11396.14,18.117870,1.317946,8.196244,3.605885,7.8807,629,7,2.0,1.0,450,120,300,45,5,MAX_RECOVERY_STEPS_GT_3,160.3576
1075,6281.53,8.999327,1.335564,5.231339,2.779053,8.3005,698,5,1.0,1.2,200,160,100,15,3,,156.1569
1791,11814.94,17.983166,1.352973,7.343991,3.776230,7.9092,657,6,2.0,1.2,100,120,220,45,5,MAX_RECOVERY_STEPS_GT_3,151.0784
1916,11824.60,17.970517,1.355210,7.301389,3.790149,7.9536,658,6,2.0,1.2,100,120,220,30,5,MAX_RECOVERY_STEPS_GT_3,150.6227
622,6364.32,13.231435,1.276282,4.947003,2.660678,8.9215,481,7,2.0,2.0,150,120,100,15,3,,144.8295
1775,9669.77,13.973656,1.329473,7.159027,3.325291,6.4708,692,7,1.5,1.4,150,120,220,30,7,MAX_RECOVERY_STEPS_GT_3,144.1255
834,6810.67,13.328121,1.321207,4.417866,3.108448,8.5143,511,7,2.0,1.4,400,40,260,45,3,,144.0829
917,6632.02,12.927914,1.333494,4.341634,3.175266,8.5070,513,7,2.0,1.4,400,40,100,15,3,,143.9856
1457,6736.15,13.182290,1.318139,4.409803,3.104589,8.4780,511,7,2.0,1.4,400,40,220,45,3,,143.8223
1794,9656.05,13.953829,1.329005,7.144110,3.320190,6.4790,692,7,1.5,1.4,150,120,220,15,7,MAX_RECOVERY_STEPS_GT_3,143.8177
1545,9551.29,13.963874,1.323674,7.143288,3.314507,6.4526,684,7,1.5,1.4,150,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,143.4269
1618,11376.79,18.742652,1.338969,6.980311,3.596740,8.6378,607,7,2.0,1.2,400,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,141.5304
1807,11143.84,18.358880,1.340453,7.012321,3.538195,8.5627,607,7,2.0,1.2,450,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,141.4507
1972,9320.16,14.770460,1.310931,7.043332,3.262400,7.2391,631,7,2.0,1.0,450,120,220,45,7,MAX_RECOVERY_STEPS_GT_3,139.1440
1232,7372.56,11.872077,1.278330,4.555800,2.576514,10.7446,621,5,1.5,1.6,100,120,220,45,3,,138.5079
935,7323.11,11.754591,1.276349,4.515198,2.572221,10.7940,623,5,1.5,1.6,150,120,220,45,3,,137.7311
1976,11112.55,16.390192,1.302864,6.920129,3.580067,10.6042,678,6,2.0,1.2,450,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,137.7198
775,11931.60,18.356308,1.315142,6.862645,3.331002,8.2377,650,6,2.0,1.4,350,120,300,45,5,MAX_RECOVERY_STEPS_GT_3,137.6459
616,11879.64,18.248295,1.315071,6.829224,3.321590,8.2616,651,6,2.0,1.4,350,120,300,30,5,MAX_RECOVERY_STEPS_GT_3,137.0076
652,8814.25,13.602238,1.318246,7.025322,3.076029,7.6285,648,7,1.5,1.4,400,120,180,30,5,MAX_RECOVERY_STEPS_GT_3,136.7888
68,7216.90,11.677832,1.273137,4.474182,2.521133,10.8225,618,5,1.5,1.6,200,120,220,15,3,,136.3339
1074,8479.05,17.164069,1.285731,4.128932,2.924940,11.3402,494,7,2.0,2.0,150,160,260,15,3,,133.8724
2162,12326.63,18.876922,1.318738,6.546828,3.411232,8.6980,653,6,2.0,1.4,350,120,300,15,5,MAX_RECOVERY_STEPS_GT_3,133.5249
2253,13755.79,21.260881,1.389471,5.969281,4.098185,9.8607,647,6,2.0,2.0,450,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,133.4405
2039,12076.71,18.811075,1.324567,6.440088,3.519052,8.7245,642,6,2.0,1.4,350,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,132.8921
1061,11080.13,17.449024,1.300406,6.713888,3.343149,9.5952,635,7,2.0,1.2,400,120,300,45,5,MAX_RECOVERY_STEPS_GT_3,132.7513
2278,12053.04,18.745008,1.325465,6.424382,3.519984,8.7376,643,6,2.0,1.4,350,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,132.6840
799,5616.61,12.565123,1.249444,4.365806,2.471154,9.1320,447,7,2.0,2.0,400,120,100,15,3,,132.1648
1749,11031.29,17.344796,1.300343,6.681864,3.332499,9.6238,636,7,2.0,1.2,400,120,300,30,5,MAX_RECOVERY_STEPS_GT_3,132.1178
1525,10131.52,14.598732,1.314005,6.586907,3.285238,8.7908,694,7,1.5,1.8,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,132.0772
2032,13351.68,20.541046,1.358452,6.201747,3.845758,10.8074,650,7,2.0,1.0,100,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,132.0223
1915,11011.63,17.313884,1.300475,6.667533,3.323108,9.6501,636,7,2.0,1.2,400,120,300,15,5,MAX_RECOVERY_STEPS_GT_3,131.7721
1953,13285.13,20.438662,1.356832,6.189984,3.823832,10.8120,650,7,2.0,1.0,100,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,131.5311
1932,14004.70,21.612191,1.385106,5.819482,4.155270,10.1403,648,6,2.0,2.0,450,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,131.4148
1406,14004.70,21.612191,1.385106,5.819482,4.155270,10.1403,648,6,2.0,1.6,450,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,131.4148
2166,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649,6,2.0,2.0,450,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,131.3700
2015,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649,6,2.0,1.6,450,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,131.3700
1882,13372.33,20.541214,1.360337,6.216017,3.759774,11.1468,651,7,2.0,1.2,100,120,300,15,5,MAX_RECOVERY_STEPS_GT_3,131.0598
2349,10937.89,17.417022,1.299863,6.594970,3.337832,9.5730,628,7,2.0,1.2,400,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,130.7508
2110,13368.41,20.535192,1.358038,6.182095,3.783522,11.1208,651,7,2.0,1.2,150,120,300,45,5,MAX_RECOVERY_STEPS_GT_3,130.7372
2056,13355.91,20.484525,1.359583,6.172033,3.788009,11.1334,652,7,2.0,1.2,150,120,300,30,5,MAX_RECOVERY_STEPS_GT_3,130.6782
1529,10916.83,17.383487,1.301591,6.579892,3.337281,9.5860,628,7,2.0,1.2,400,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,130.5535
2082,11857.67,17.489189,1.327358,6.346056,3.453606,9.3823,678,7,2.0,1.2,100,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,130.5402
988,12025.71,16.890042,1.327816,6.192085,3.873398,11.8971,712,6,2.0,1.2,100,120,220,30,7,MAX_RECOVERY_STEPS_GT_3,129.8251
2244,13300.68,20.525741,1.357322,6.149096,3.731146,11.0379,648,7,2.0,1.2,100,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,129.7162
1764,10858.45,17.290525,1.300230,6.542338,3.318982,9.6197,628,7,2.0,1.2,400,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,129.6900
1836,12018.04,16.903010,1.325908,6.192919,3.861965,11.8981,711,6,2.0,1.2,100,120,220,45,7,MAX_RECOVERY_STEPS_GT_3,129.6515
1770,11314.88,18.017325,1.331270,6.544819,3.354836,11.1566,628,7,2.0,1.2,100,120,220,45,5,MAX_RECOVERY_STEPS_GT_3,129.5560
2133,10227.65,15.590930,1.303236,6.401363,3.337652,8.4644,656,7,2.0,1.0,300,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,129.3382
1931,13266.72,20.504977,1.354216,6.137652,3.718418,11.0201,647,7,2.0,1.2,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,129.2986
2261,13155.75,20.239615,1.354165,6.110598,3.739084,11.0438,650,7,2.0,1.2,150,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,129.0566
1330,11566.89,17.060310,1.313319,5.945367,3.920562,9.1204,678,6,2.0,1.2,450,120,220,30,7,MAX_RECOVERY_STEPS_GT_3,128.8770
1315,11302.11,17.968378,1.331820,6.492742,3.353023,11.2101,629,7,2.0,1.2,100,120,220,30,5,MAX_RECOVERY_STEPS_GT_3,128.7197
1950,13166.64,20.287581,1.352786,6.087916,3.735426,11.0837,649,7,2.0,1.2,150,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,128.5748
1496,11409.33,16.902711,1.317559,6.263253,3.373430,9.3390,675,7,2.0,1.2,100,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,127.9384
296,4718.03,8.720943,1.239340,4.140402,2.355670,9.3444,541,7,1.5,1.2,500,40,180,30,3,,127.9139
1256,13293.24,20.482650,1.354845,5.967436,3.818836,11.1751,649,7,2.0,1.0,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,127.6274
1925,11299.49,17.878940,1.323397,6.375824,3.402109,11.4243,632,7,2.0,1.0,100,120,220,45,5,MAX_RECOVERY_STEPS_GT_3,126.9465
2088,11426.03,16.952567,1.315911,6.200263,3.375514,9.4306,674,7,2.0,1.2,100,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,126.8408
2243,11403.23,16.893674,1.316761,6.186883,3.374665,9.4424,675,7,2.0,1.2,100,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,126.6501
2314,11274.08,17.810553,1.324482,6.355031,3.400503,11.4458,633,7,2.0,1.0,100,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,126.6323
1712,10075.27,15.841619,1.296836,6.305990,3.276559,8.5922,636,7,2.0,1.2,400,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,126.5574
949,10054.47,15.784097,1.297781,6.290610,3.276741,8.6041,637,7,2.0,1.2,400,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,126.3512
2189,14527.65,21.146507,1.373012,5.616179,4.028342,11.4322,687,7,2.0,1.2,150,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,125.9410
1228,11837.23,16.395055,1.313555,6.090332,3.678116,11.8570,722,6,2.0,1.2,100,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,125.8008
2232,14498.54,21.073459,1.373825,5.604925,4.027217,11.4462,688,7,2.0,1.2,150,120,300,30,7,MAX_RECOVERY_STEPS_GT_3,125.7723
373,11901.22,16.529472,1.313309,6.093534,3.661515,11.8586,720,6,2.0,1.2,100,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,125.7043
1365,10003.23,15.703658,1.296655,6.256203,3.256378,8.6346,637,7,2.0,1.2,400,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,125.5298
1838,11878.42,16.474924,1.314107,6.077193,3.661349,11.8798,721,6,2.0,1.2,100,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,125.4486
2390,14470.26,21.062969,1.369312,5.593992,4.004020,11.4613,687,7,2.0,1.2,200,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,125.1719
2114,14439.82,20.988110,1.372517,5.582225,4.008949,11.4753,688,7,2.0,1.2,150,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,125.1391
206,7660.36,12.661752,1.297623,3.534077,2.734847,11.5249,605,5,1.5,1.0,200,120,140,30,3,,124.4196
937,7281.39,11.412837,1.326759,6.077295,3.360289,7.9584,638,7,1.5,1.2,500,40,180,45,7,MAX_RECOVERY_STEPS_GT_3,124.4038
2395,15817.42,22.957068,1.401633,5.182590,4.297886,11.7990,689,7,2.0,1.2,200,160,300,15,7,MAX_RECOVERY_STEPS_GT_3,123.3676
2295,15819.10,22.992878,1.400321,5.184160,4.277232,11.7964,688,7,2.0,1.2,200,160,300,45,7,MAX_RECOVERY_STEPS_GT_3,123.1284
1651,11993.90,17.332225,1.314684,5.882304,3.453704,9.7796,692,6,2.0,1.6,300,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,122.9327
