sha1,duplicate_count,path
350d7fffc4b8cde4fdf5d8b515a678aa2571d66b,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\baseline_analysis.md
350d7fffc4b8cde4fdf5d8b515a678aa2571d66b,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\baseline_analysis.md
272f4f76cc763c48a80a8cb5c9f3c106e5b4d6ed,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\baseline_scorecard.md
272f4f76cc763c48a80a8cb5c9f3c106e5b4d6ed,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\baseline_scorecard.md
470bbf748aea465100b88662ec3f84ae1ece9f55,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold 1 H.set
470bbf748aea465100b88662ec3f84ae1ece9f55,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\Gold 1 H.set
923c4e4d794fe4036c1d1520804a22f224c71400,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5_RiskCapV1_compile.log
923c4e4d794fe4036c1d1520804a22f224c71400,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\compile_used.log
abd4859010f67f783d82bfaeb75f90c4b48ce668,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization_recommendation.md
abd4859010f67f783d82bfaeb75f90c4b48ce668,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\optimization_recommendation.md
df919e84bef02dfa84e6d69bbfa834b4708b00aa,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237-holding.png
df919e84bef02dfa84e6d69bbfa834b4708b00aa,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\ReportTester-146237-holding.png
df919e84bef02dfa84e6d69bbfa834b4708b00aa,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\set\ReportTester-146237 - risk cap-holding.png
dd6379f746b024d301bf93079d5d89b6b10bffc6,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237-hst.png
dd6379f746b024d301bf93079d5d89b6b10bffc6,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\ReportTester-146237-hst.png
dd6379f746b024d301bf93079d5d89b6b10bffc6,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\set\ReportTester-146237 - risk cap-hst.png
afc1df3ecb546ce30fd759367fd024b66eb6d98c,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237-mfemae.png
afc1df3ecb546ce30fd759367fd024b66eb6d98c,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\ReportTester-146237-mfemae.png
afc1df3ecb546ce30fd759367fd024b66eb6d98c,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\set\ReportTester-146237 - risk cap-mfemae.png
0e4d1eb60ded254c7e0320c2aa160348653246d6,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237.html
0e4d1eb60ded254c7e0320c2aa160348653246d6,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\ReportTester-146237.html
1afe60ddcd361abd2ecbb1e35f8c9b6160117d67,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237.png
1afe60ddcd361abd2ecbb1e35f8c9b6160117d67,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backup_before_risk_cap_v1\ReportTester-146237.png
1afe60ddcd361abd2ecbb1e35f8c9b6160117d67,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\set\ReportTester-146237 - risk cap.png
846f794ca7f805e1ef616cb0e3a041598c7acc24,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237.xlsx
