path,folder,name,extension,size_bytes,modified,category,symbol_inferred,strategy_inferred,sha1
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\baseline_analysis.md,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,baseline_analysis.md,.md,5183,2026-06-03T15:25:34,other,,Gold SMC continuous,350d7fffc4b8cde4fdf5d8b515a678aa2571d66b
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\baseline_risk_cap_v1_analysis.md,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,baseline_risk_cap_v1_analysis.md,.md,3254,2026-06-03T15:41:09,other,,Gold SMC continuous,c20fbfbdeb33160ef90ba08ab0a159fc0ee6db94
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\baseline_scorecard.md,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,baseline_scorecard.md,.md,2260,2026-06-03T15:25:34,other,,Gold SMC continuous,272f4f76cc763c48a80a8cb5c9f3c106e5b4d6ed
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold 1 H.set,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold 1 H.set,.set,1712,2026-06-03T15:03:29,preset,,Gold SMC continuous,470bbf748aea465100b88662ec3f84ae1ece9f55
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5.ex5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5.ex5,.ex5,54434,2026-06-03T15:41:37,code/binary,,Gold SMC continuous,fc6360aab8d103d5bf2898cfc7eedb031853abe6
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5.mq5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5.mq5,.mq5,25031,2026-06-03T15:41:28,code/binary,,Gold SMC continuous,9e08ea2e5c6a4e3e2c4f34f50b7767c40d591b8e
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5_RiskCapV1.ex5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5_RiskCapV1.ex5,.ex5,54816,2026-06-03T18:16:21,code/binary,,Gold SMC continuous,ead4d62932088b0e54ef5c63ba98460ee6644793
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5_RiskCapV1.mq5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5_RiskCapV1.mq5,.mq5,29622,2026-06-03T18:16:03,code/binary,,Gold SMC continuous,d923df9d0e05c2691d71284e97848bc36cf89797
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5_RiskCapV1_compile.log,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5_RiskCapV1_compile.log,.log,6898,2026-06-03T16:33:58,other,,Gold SMC continuous,923c4e4d794fe4036c1d1520804a22f224c71400
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5_RiskCapV1_diagnostic_counters_compile.log,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5_RiskCapV1_diagnostic_counters_compile.log,.log,6898,2026-06-03T18:16:21,other,,Gold SMC continuous,f925ecacf47325e89a80e82bb99b13ba29e7ea29
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5_risk_cap_v1_compile.log,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5_risk_cap_v1_compile.log,.log,6676,2026-06-03T15:41:37,other,,Gold SMC continuous,8b9edaf981c44c991fcc023e229e7754897275b8
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\Gold_SMC_Continuous_MT5_risk_cap_v1_terminal_compile.log,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,Gold_SMC_Continuous_MT5_risk_cap_v1_terminal_compile.log,.log,6838,2026-06-03T16:16:57,other,,Gold SMC continuous,00240b5b9c73885c54d70017ab34c9edf8517fa8
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization_gate_decision.md,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,optimization_gate_decision.md,.md,2544,2026-06-03T16:18:00,other,,Gold SMC continuous,535842bb804b159c9c050a6ff2e04f3f93eabb47
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization_recommendation.md,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,optimization_recommendation.md,.md,3925,2026-06-03T15:25:34,other,,Gold SMC continuous,abd4859010f67f783d82bfaeb75f90c4b48ce668
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237-holding.png,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,ReportTester-146237-holding.png,.png,16254,2026-06-03T15:09:28,visual/doc,,Gold SMC continuous,df919e84bef02dfa84e6d69bbfa834b4708b00aa
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\ReportTester-146237-hst.png,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous,ReportTester-146237-hst.png,.png,33936,2026-06-03T15:09:28,visual/doc,,Gold SMC continuous,dd6379f746b024d301bf93079d5d89b6b10bffc6
