Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2025.01.01 00:00:00,1,,balance,,,,,0.00,0.00,10 000.00,10 000.00,
2025.01.02 15:00:00,2,XAUUSD,buy,in,0.01,2643.53,2,0.00,0.00,0.00,10 000.00,CT_1st_Buy
2025.01.03 11:00:00,3,XAUUSD,sell,in,0.02,2652.55,3,0.00,0.00,0.00,10 000.00,CT_Rec_Sell
2025.01.03 17:00:00,4,XAUUSD,sell,in,0.03,2645.79,4,0.00,0.00,0.00,10 000.00,CT_Rec_Sell
2025.01.03 17:21:11,5,XAUUSD,buy,out,0.02,2641.16,5,0.00,0.00,22.78,10 022.78,tp 2641.18
2025.01.06 08:00:00,6,XAUUSD,sell,in,0.04,2633.92,6,0.00,0.00,0.00,10 022.78,CT_Rec_Sell
2025.01.06 15:00:00,7,XAUUSD,buy,in,0.05,2645.55,7,0.00,0.00,0.00,10 022.78,CT_Rec_Buy
2025.01.06 16:16:42,8,XAUUSD,buy,out,0.04,2619.01,8,0.00,0.00,59.64,10 082.42,tp 2619.01
2025.01.06 16:16:44,9,XAUUSD,buy,out,0.03,2618.79,9,0.00,0.00,81.00,10 163.42,tp 2618.85
2025.01.06 17:00:00,10,XAUUSD,sell,in,0.07,2631.77,10,0.00,0.00,0.00,10 163.42,CT_Rec_Sell
2025.01.07 05:00:00,11,XAUUSD,buy,in,0.09,2638.69,11,0.00,0.00,0.00,10 163.42,CT_Rec_Buy
2025.01.07 14:03:28,12,XAUUSD,sell,out,0.09,2649.18,12,0.00,0.00,94.41,10 257.83,tp 2649.13
2025.01.07 15:00:00,13,XAUUSD,buy,in,0.09,2651.49,13,0.00,0.00,0.00,10 257.83,CT_Rec_Buy
2025.01.09 13:29:21,14,XAUUSD,sell,out,0.09,2671.84,14,0.00,0.00,183.15,10 440.98,tp 2671.59
2025.01.09 15:00:00,15,XAUUSD,buy,in,0.09,2674.24,15,0.00,0.00,0.00,10 440.98,CT_Rec_Buy
2025.01.09 15:37:20,16,XAUUSD,sell,out,0.05,2677.58,16,0.00,0.00,160.15,10 601.13,tp 2677.53
2025.01.10 06:40:32,17,XAUUSD,buy,in,0.12,2672.02,17,0.00,0.00,0.00,10 601.13,CT_Rec_Buy
2025.01.10 06:44:58,18,XAUUSD,sell,out,0.12,2672.44,18,0.00,0.00,5.04,10 606.17,tp 2672.44
2025.01.10 16:33:21,19,XAUUSD,sell,out,0.09,2691.11,19,0.00,0.00,151.83,10 758.00,tp 2691.04
2025.01.10 16:33:22,20,XAUUSD,sell,out,0.01,2691.37,20,0.00,0.00,47.84,10 805.84,tp 2691.35
2025.01.13 14:00:00,21,XAUUSD,sell,in,0.09,2675.84,21,0.00,0.00,0.00,10 805.84,CT_Rec_Sell
2025.01.13 16:00:00,22,XAUUSD,sell,in,0.12,2668.70,22,0.00,0.00,0.00,10 805.84,CT_Rec_Sell
2025.01.13 20:28:25,23,XAUUSD,buy,out,0.12,2658.07,23,0.00,0.00,127.56,10 933.40,
2025.01.13 20:28:25,24,XAUUSD,buy,out,0.09,2658.07,24,0.00,0.00,159.93,11 093.33,
2025.01.13 20:28:25,25,XAUUSD,buy,out,0.07,2658.07,25,0.00,0.00,-184.10,10 909.23,
2025.01.15 13:00:00,26,XAUUSD,buy,in,0.01,2688.76,26,0.00,0.00,0.00,10 909.23,CT_1st_Buy
2025.01.16 13:00:00,27,XAUUSD,buy,in,0.02,2708.07,27,0.00,0.00,0.00,10 909.23,CT_Rec_Buy
2025.01.16 17:00:00,28,XAUUSD,buy,in,0.03,2718.50,28,0.00,0.00,0.00,10 909.23,CT_Rec_Buy
2025.01.16 18:54:29,29,XAUUSD,sell,out,0.02,2722.43,29,0.00,0.00,28.72,10 937.95,tp 2722.41
2025.01.17 13:00:00,30,XAUUSD,sell,in,0.04,2704.14,30,0.00,0.00,0.00,10 937.95,CT_Rec_Sell
2025.01.17 19:00:00,31,XAUUSD,buy,in,0.05,2716.02,31,0.00,0.00,0.00,10 937.95,CT_Rec_Buy
2025.01.21 04:39:35,32,XAUUSD,sell,out,0.01,2725.57,32,0.00,0.00,36.81,10 974.76,tp 2725.45
2025.01.21 05:00:00,33,XAUUSD,buy,in,0.07,2724.87,33,0.00,0.00,0.00,10 974.76,CT_Rec_Buy
2025.01.21 05:00:12,34,XAUUSD,sell,out,0.05,2726.12,34,0.00,0.00,50.50,11 025.26,tp 2726.04
2025.01.21 06:18:07,35,XAUUSD,buy,in,0.09,2727.20,35,0.00,0.00,0.00,11 025.26,CT_Rec_Buy
2025.01.21 09:39:38,36,XAUUSD,sell,out,0.09,2731.54,36,0.00,0.00,39.06,11 064.32,
