project,type,ea_name,symbol,period,PF,DD%,RF,trades,net,score,verdict,file
(drop),optimizer,,,,1.719645,55.0372,0.995477,488,5722.36,,top of 504 passes,C:\Users\patip\OneDrive\.Codex\Optimize\EX197\EX197.xml
(drop),optimizer,,,,2.221781,46.4608,2.956604,64,354851.59,,top of 1368 passes,C:\Users\patip\OneDrive\.Codex\Optimize\MACD-V\ReportOptimizer-146237-2.xml
(drop),optimizer,,,,1.747857,36.7727,1.797506,45,253646.1,,top of 660 passes,C:\Users\patip\OneDrive\.Codex\Optimize\MACD-V\ReportOptimizer-146237.xml
(drop),optimizer,,,,1.274359,33.253,1.908941,791,41628.16,,top of 363 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Port 6 Pivot range - NZDUSD - rev 0\Port 6 Pivot range - NZDUSD - rev0-1.xml
(drop),optimizer,,,,1.267665,31.3092,1.813761,815,26750.73,,top of 196 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Port 6 Pivot range - NZDUSD - rev 0\Port 6 Pivot range - NZDUSD - rev0.xml
(drop),optimizer,,,,1.37326,25.5021,3.567369,792,80907.94,,top of 176 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Port 6 Pivot range - NZDUSD\Port 6 Pivot range - NZDUSD - MM.xml
(drop),optimizer,,,,1.373007,31.3563,1.358255,172,12336.27,,top of 196 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Port 6 Pivot range - NZDUSD\Port 6 Pivot range - NZDUSD-S1.xml
(drop),optimizer,,,,1.368061,22.8945,3.003168,754,35842.57,,top of 156 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Port 6 Pivot range - NZDUSD\Port 6 Pivot range - NZDUSD-S2.xml
(drop),optimizer,,,,1.441892,23.5057,3.581871,830,64893.73,,top of 1694 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Port 6 Pivot range - NZDUSD\Port 6 Pivot range - NZDUSD.xml
(drop),optimizer,,,,2.264466,20.1776,6.025724,1287,241547.19,,top of 2064 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\AUDCAD\Audcad - 1st op.xml
(drop),optimizer,,,,2.72584,23.3457,6.499395,881,187046.09,,top of 2955 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\AUDCAD\Audcad - 2nd op.xml
(drop),optimizer,,,,2.102402,38.2432,7.237359,1179,86998.63,,top of 2134 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\AUDCAD\Audcad - 3rd op.xml
(drop),optimizer,,,,1.264247,51.2647,4.181055,2490,220997.84,,top of 3554 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\AUDCAD\Audcad - 4th op.xml
(drop),optimizer,,,,1.637554,28.2869,2.359525,238,31354.45,,top of 5774 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\AUDNZD\AUDNZD - 1st op.xml
(drop),optimizer,,,,2.722609,19.3006,4.299001,561,103840.74,,top of 3290 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\EURCAD\EURCAD - dynamic.xml
(drop),optimizer,,,,2.294193,20.7002,5.971834,379,39603.59,,top of 4703 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\EURCAD\EURCAD.xml
(drop),optimizer,,,,3.690046,19.154,4.546014,229,33032.93,,top of 8603 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\EURGBP\EURGBP - 1st op.xml
(drop),optimizer,,,,3.753808,15.3086,8.798821,469,150486.94,,top of 4077 passes,C:\Users\patip\OneDrive\.Codex\Optimize\Preset\Port 2\EURGBP\EURGBP - 2nd op 2020-2026.xml
(drop),optimizer,,,,1.183508,22.2084,2.997196,983,46706.32,,top of 2670 passes,C:\Users\patip\OneDrive\.Codex\Optimize\RSI dynamic\XAUUSD.xml
EA_CORE_V1_TESTBED,single,Gold_SMC_Continuous_MT5_RiskCapV1,XAUUSD,H1 (2025.01.01 - 2026.06.01),1.38,10.9,4.22,447,9240.87,75.5,PASS,D:\EA_LAB\ea_projects\EA_CORE_V1_TESTBED\reports\inbox\RUN_EA_CORE_V1_20260612_0002_XAUUSD_H1_SINGLE.html
