Step,TwoStep,trades,PF,net,maxDD%,win%,screen
10,30,547.0,0.7,-10348.46,101.96,72.58,REJECT
10,60,547.0,0.7,-10348.46,101.96,72.58,REJECT
10,90,547.0,0.7,-10348.46,101.96,72.58,REJECT
10,120,547.0,0.7,-10348.46,101.96,72.58,REJECT
10,150,547.0,0.7,-10348.46,101.96,72.58,REJECT
30,30,360.0,0.61,-11056.99,107.05,70.28,REJECT
30,60,360.0,0.61,-11056.99,107.05,70.28,REJECT
30,90,360.0,0.61,-11056.99,107.05,70.28,REJECT
30,120,360.0,0.61,-11056.99,107.05,70.28,REJECT
30,150,360.0,0.61,-11056.99,107.05,70.28,REJECT
50,30,289.0,0.57,-10105.22,100.79,69.2,REJECT
50,60,289.0,0.57,-10105.22,100.79,69.2,REJECT
50,90,289.0,0.57,-10105.22,100.79,69.2,REJECT
50,120,289.0,0.57,-10105.22,100.79,69.2,REJECT
50,150,289.0,0.57,-10105.22,100.79,69.2,REJECT
70,30,252.0,0.5,-9889.69,99.08,68.25,REJECT
70,60,252.0,0.5,-9889.69,99.08,68.25,REJECT
70,90,252.0,0.5,-9889.69,99.08,68.25,REJECT
70,120,252.0,0.5,-9889.69,99.08,68.25,REJECT
70,150,252.0,0.5,-9889.69,99.08,68.25,REJECT
90,30,229.0,0.59,-9155.19,92.95,68.56,REJECT
90,60,229.0,0.59,-9155.19,92.95,68.56,REJECT
90,90,229.0,0.59,-9155.19,92.95,68.56,REJECT
90,120,229.0,0.59,-9155.19,92.95,68.56,REJECT
90,150,229.0,0.59,-9155.19,92.95,68.56,REJECT
