mult,MaxTrades,step,trades,PF,net,DD%,win%
1.0,5,200,329.0,0.31,-46.17,0.64,69.91
1.0,5,400,291.0,0.28,-48.18,0.65,69.07
1.0,5,800,254.0,0.24,-50.14,0.66,66.93
1.0,10,200,370.0,0.19,-103.4,1.32,68.38
1.0,10,400,310.0,0.16,-107.03,1.35,67.1
1.0,10,800,263.0,0.14,-107.96,1.34,65.4
1.0,20,200,384.0,0.1,-219.37,2.69,66.15
1.0,20,400,321.0,0.09,-220.0,2.68,65.11
1.0,20,800,273.0,0.07,-217.43,2.64,63.0
1.2,5,200,329.0,0.31,-46.17,0.64,69.91
1.2,5,400,291.0,0.28,-48.18,0.65,69.07
1.2,5,800,254.0,0.24,-50.14,0.66,66.93
1.2,10,200,370.0,0.12,-197.83,2.44,67.3
1.2,10,400,310.0,0.1,-201.51,2.46,66.13
1.2,10,800,265.0,0.08,-203.09,2.45,63.77
1.2,20,200,385.0,0.02,-1607.81,19.05,64.94
1.2,20,400,644.0,2.17,62.27,0.46,61.49
1.2,20,800,517.0,1.69,25.34,0.2,62.09
1.4,5,200,336.0,0.26,-58.66,0.78,69.05
1.4,5,400,291.0,0.23,-61.62,0.79,67.35
1.4,5,800,254.0,0.22,-60.84,0.79,66.93
1.4,10,200,376.0,0.07,-431.63,5.18,64.89
1.4,10,400,308.0,0.04,-443.09,5.26,63.64
1.4,10,800,265.0,0.04,-434.14,5.18,63.77
1.4,20,200,361.0,0.0,-10019.93,100.2,61.77
1.4,20,400,665.0,1.52,125.61,2.74,57.14
1.4,20,800,517.0,2.4,69.47,0.48,61.12
