StepGrid,MaxOrder,MultiplierLot,trades,PF,net,DD%,win%
250,2,1,111.0,0.31,-109.23,1.96,89.19
250,2,1.5,113.0,0.3,-139.11,2.45,88.5
250,2,2,113.0,0.29,-168.12,2.94,88.5
250,3,1,142.0,0.27,-173.96,2.93,85.21
250,3,1.5,159.0,0.26,-284.2,4.68,82.39
250,3,2,261.0,9.14,186.6,1.29,80.84
250,4,1,173.0,0.26,-235.15,3.9,84.97
250,4,1.5,155.0,0.14,-645.36,9.02,77.42
250,4,2,158.0,0.11,-1225.42,16.43,72.15
500,2,1,111.0,0.31,-108.96,1.96,89.19
500,2,1.5,113.0,0.3,-138.7,2.45,88.5
500,2,2,113.0,0.29,-167.58,2.94,88.5
500,3,1,141.0,0.27,-174.64,2.93,85.11
500,3,1.5,158.0,0.25,-285.66,4.68,82.28
500,3,2,259.0,9.01,184.96,1.29,80.31
500,4,1,171.0,0.25,-236.26,3.9,84.8
500,4,1.5,153.0,0.14,-645.1,9.01,77.12
500,4,2,156.0,0.11,-1227.2,16.43,71.79
1000,2,1,109.0,0.3,-109.67,1.96,87.16
1000,2,1.5,111.0,0.3,-139.61,2.45,86.49
1000,2,2,111.0,0.29,-168.73,2.94,86.49
1000,3,1,135.0,0.25,-177.64,2.93,85.19
1000,3,1.5,131.0,0.16,-369.86,5.3,79.39
1000,3,2,131.0,0.15,-548.64,7.71,77.1
1000,4,1,167.0,0.23,-244.28,3.9,81.44
1000,4,1.5,146.0,0.12,-665.48,9.03,72.6
1000,4,2,149.0,0.09,-1249.46,16.46,69.13
2000,2,1,103.0,0.31,-108.49,1.96,90.29
2000,2,1.5,190.0,13.2,108.94,0.5,88.95
2000,2,2,189.0,12.38,119.07,0.59,88.36
2000,3,1,127.0,0.25,-178.3,2.93,85.83
2000,3,1.5,125.0,0.15,-375.38,5.29,76.8
2000,3,2,125.0,0.13,-557.49,7.69,74.4
2000,4,1,260.0,7.77,117.07,0.75,83.85
2000,4,1.5,135.0,0.11,-666.44,8.99,73.33
2000,4,2,140.0,0.08,-1255.26,16.4,68.57
