Grid_Distance_Snow,Grid_Distance_Rev,Close_Profit,trades,PF,net,DD%,win%
150,200,40,72.0,1.42,1.64,0.02,58.33
150,200,80,55.0,0.56,-5.97,0.13,52.73
150,200,120,47.0,0.55,-6.38,0.13,48.94
150,300,40,74.0,1.47,1.98,0.02,58.11
150,300,80,52.0,0.64,-4.74,0.13,53.85
150,300,120,39.0,0.58,-5.8,0.13,46.15
150,400,40,52.0,0.53,-4.75,0.1,55.77
150,400,80,52.0,0.64,-4.74,0.13,53.85
150,400,120,41.0,0.6,-5.13,0.13,48.78
150,500,40,52.0,0.53,-4.75,0.1,55.77
150,500,80,52.0,0.64,-4.74,0.13,53.85
150,500,120,41.0,0.6,-5.13,0.13,48.78
250,200,40,53.0,1.29,1.09,0.01,62.26
250,200,80,44.0,1.36,1.53,0.04,54.55
250,200,120,30.0,1.56,1.46,0.02,56.67
250,300,40,42.0,1.16,0.58,0.01,57.14
250,300,80,30.0,0.95,-0.18,0.01,46.67
250,300,120,26.0,1.41,1.58,0.04,50.0
250,400,40,25.0,0.49,-2.87,0.05,52.0
250,400,80,22.0,0.5,-2.77,0.05,50.0
250,400,120,21.0,0.7,-1.49,0.04,52.38
250,500,40,31.0,1.18,0.77,0.04,61.29
250,500,80,30.0,1.32,1.33,0.04,60.0
250,500,120,20.0,0.71,-1.49,0.04,50.0
350,200,40,44.0,0.85,-0.91,0.03,61.36
350,200,80,31.0,1.41,1.39,0.04,61.29
350,200,120,32.0,2.18,2.52,0.02,56.25
350,300,40,30.0,1.13,0.52,0.02,63.33
350,300,80,22.0,1.19,0.65,0.02,45.45
350,300,120,26.0,1.67,1.96,0.02,65.38
350,400,40,13.0,0.7,-0.78,0.01,53.85
350,400,80,20.0,1.11,0.43,0.02,45.0
350,400,120,11.0,0.71,-0.76,0.01,45.45
350,500,40,19.0,1.04,0.12,0.02,63.16
350,500,80,18.0,1.12,0.37,0.02,50.0
350,500,120,17.0,1.5,1.24,0.02,58.82
450,200,40,31.0,1.01,0.05,0.02,61.29
450,200,80,21.0,1.07,0.22,0.02,61.9
450,200,120,23.0,1.24,0.87,0.02,52.17
450,300,40,14.0,0.72,-0.84,0.02,50.0
450,300,80,12.0,0.73,-0.82,0.02,41.67
450,300,120,13.0,1.15,0.25,0.01,53.85
450,400,40,14.0,0.83,-0.29,0.01,71.43
450,400,80,11.0,0.86,-0.23,0.01,63.64
450,400,120,10.0,0.79,-0.39,0.01,50.0
450,500,40,17.0,0.86,-0.24,0.01,76.47
450,500,80,16.0,1.15,0.23,0.01,68.75
450,500,120,12.0,0.99,-0.02,0.01,58.33
