Grid_Distance_Snow,Grid_Distance_Rev,Close_Profit,trades,PF,net,DD%,win%
40,80,60,199.0,2.43,13.09,0.05,54.27
40,80,120,162.0,0.54,-34.74,0.86,51.23
40,120,60,182.0,0.42,-37.86,0.79,53.85
40,120,120,157.0,0.54,-34.73,0.86,51.59
40,200,60,184.0,0.48,-34.19,0.79,54.35
40,200,120,156.0,0.55,-33.57,0.86,51.92
40,300,60,176.0,0.44,-36.29,0.79,53.98
40,300,120,144.0,0.53,-35.4,0.86,52.08
60,80,60,133.0,0.49,-19.73,0.45,51.88
60,80,120,114.0,2.49,13.14,0.07,49.12
60,120,60,127.0,0.49,-19.84,0.45,52.76
60,120,120,115.0,2.37,12.36,0.07,51.3
60,200,60,128.0,0.5,-19.37,0.45,53.91
60,200,120,105.0,0.5,-22.6,0.52,57.14
60,300,60,123.0,0.51,-19.14,0.45,52.03
60,300,120,88.0,0.45,-24.78,0.52,52.27
100,80,60,113.0,2.18,6.18,0.02,53.98
100,80,120,77.0,0.6,-8.88,0.23,49.35
100,120,60,80.0,0.51,-10.58,0.24,50.0
100,120,120,71.0,1.66,7.51,0.16,43.66
100,200,60,66.0,1.43,4.6,0.16,53.03
100,200,120,59.0,1.56,3.22,0.04,52.54
100,300,60,71.0,1.75,2.77,0.02,57.75
100,300,120,42.0,0.62,-5.41,0.15,45.24
150,80,60,92.0,2.26,5.33,0.02,58.7
150,80,120,67.0,2.25,6.98,0.1,53.73
150,120,60,67.0,0.59,-5.53,0.13,49.25
150,120,120,54.0,1.85,3.9,0.05,46.3
150,200,60,67.0,1.54,2.03,0.02,56.72
150,200,120,47.0,0.55,-6.38,0.13,48.94
150,300,60,56.0,0.58,-5.53,0.13,55.36
150,300,120,39.0,0.58,-5.8,0.13,46.15
