Grid_Distance_Snow,Grid_Distance_Rev,Close_Profit,trades,PF,net,DD%,win%
150,200,40,857.0,1.22,72.3,6.18,61.49
150,200,80,900.0,1.26,87.73,6.17,61.67
150,200,120,1121.0,1.11,116.99,16.22,56.02
150,300,40,876.0,1.27,82.1,6.68,60.16
150,300,80,1187.0,0.41,-3918.4,66.87,55.35
150,300,120,1345.0,0.46,-3857.13,66.46,52.86
150,400,40,1125.0,0.35,-4276.56,73.6,54.84
150,400,80,1166.0,0.35,-4265.29,73.51,54.63
150,400,120,1345.0,0.41,-4220.53,73.19,52.64
150,500,40,786.0,1.47,104.74,6.75,63.1
150,500,80,829.0,1.5,116.36,6.74,62.0
150,500,120,1002.0,1.21,163.06,19.21,58.08
250,200,40,826.0,1.12,98.32,10.05,58.11
250,200,80,843.0,1.13,112.26,10.05,57.89
250,200,120,952.0,1.12,120.88,10.04,55.78
250,300,40,798.0,1.12,83.48,12.57,56.52
250,300,80,799.0,1.13,86.7,12.57,56.82
250,300,120,889.0,1.13,97.42,12.56,56.13
250,400,40,781.0,1.11,68.98,13.2,57.36
250,400,80,789.0,1.11,71.05,13.2,57.16
250,400,120,888.0,1.16,112.87,13.19,55.86
250,500,40,743.0,1.07,42.5,13.44,58.68
250,500,80,762.0,1.15,87.97,13.43,58.79
250,500,120,862.0,1.17,109.7,13.4,57.31
350,200,40,718.0,1.07,54.46,5.47,58.5
350,200,80,721.0,1.07,56.63,5.47,58.81
350,200,120,785.0,1.05,62.71,3.1,58.85
350,300,40,686.0,1.14,81.0,8.49,58.02
350,300,80,684.0,1.15,86.98,8.49,58.19
350,300,120,750.0,1.15,99.88,8.48,57.07
350,400,40,663.0,1.13,64.92,9.27,59.13
350,400,80,667.0,1.14,71.59,9.27,58.77
350,400,120,745.0,1.16,91.55,9.25,57.05
350,500,40,636.0,1.13,57.79,9.58,60.53
350,500,80,652.0,1.14,61.91,9.58,59.82
350,500,120,679.0,1.25,110.39,9.57,58.62
450,200,40,655.0,0.96,-195.57,3.75,62.44
450,200,80,659.0,0.96,-193.93,3.75,62.52
450,200,120,731.0,0.97,-193.08,3.75,61.15
450,300,40,612.0,1.29,55.23,2.89,62.09
450,300,80,637.0,1.11,59.65,6.15,57.61
450,300,120,692.0,1.11,67.07,6.15,56.65
450,400,40,584.0,1.33,50.34,3.09,63.18
450,400,80,596.0,1.35,53.36,3.08,62.08
450,400,120,623.0,1.38,59.13,3.08,61.32
450,500,40,558.0,1.51,59.13,3.18,64.87
450,500,80,580.0,1.54,63.19,3.18,63.1
450,500,120,609.0,1.56,68.41,3.18,62.07
