"time","profit"
"2020.01.02 18:47:40","11.71"
"2020.01.03 06:01:40","0"
"2020.01.06 01:58:40","-20.51"
"2020.01.07 00:00:40","11.92"
"2020.01.08 02:57:40","-22.42"
"2020.01.08 17:59:40","-0.58"
"2020.01.08 22:49:40","44.32"
"2020.01.14 03:50:40","108.09"
"2020.01.22 03:08:40","-14.5"
"2020.01.23 20:24:20","70.05"
"2020.01.27 02:07:40","76.58"
"2020.01.30 21:56:40","-15.88"
"2020.01.31 18:56:20","15.92"
"2020.02.07 14:54:40","-17.58"
"2020.02.19 18:35:40","324.14"
"2020.02.20 09:17:40","-528.37"
"2020.02.20 09:44:40","15.33"
"2020.02.24 17:00:40","76.77"
"2020.02.28 00:24:40","24.78"
"2020.03.03 17:16:40","-0.25"
"2020.03.05 17:19:40","-15.66"
"2020.03.09 01:00:40","132.92"
"2020.03.09 16:38:40","11.27"
"2020.03.10 22:24:40","-3.44"
"2020.03.13 11:28:40","-9.48"
"2020.03.13 19:47:40","-0.5"
"2020.03.18 20:55:40","-11.2"
"2020.03.19 04:01:40","24.33"
"2020.03.19 14:38:40","54.08"
"2020.03.20 20:12:40","-15.85"
"2020.03.24 20:04:40","-17.17"
"2020.03.26 15:03:40","6.89"
"2020.03.26 22:16:40","-22.52"
"2020.03.27 07:00:40","-5.42"
"2020.03.31 19:05:40","-8.28"
"2020.04.01 19:36:40","-22.16"
"2020.04.06 03:46:40","39.43"
"2020.04.13 11:13:40","51.25"
"2020.04.13 23:07:40","17.8"
"2020.04.16 08:20:40","37.56"
"2020.04.28 16:55:40","8.24"
"2020.04.29 15:06:40","-2.53"
"2020.05.06 00:01:40","-9.9"
"2020.05.06 09:50:40","-14.97"
"2020.05.06 14:55:20","-480.63"
"2020.05.07 02:43:40","-9.22"
"2020.05.08 17:43:40","-14.23"
"2020.05.11 05:50:40","-20.45"
"2020.05.12 00:03:30","123.67"
"2020.05.19 16:35:20","111.76"
"2020.05.27 16:54:40","-19.13"
"2020.06.02 15:47:40","92.03"
"2020.06.04 03:17:40","5.69"
"2020.06.05 11:54:40","16.72"
"2020.06.08 17:39:40","122.49"
"2020.06.08 23:53:40","-5.98"
"2020.06.10 21:01:40","73.67"
"2020.06.18 06:06:40","62.84"
"2020.06.23 18:02:40","116.36"
"2020.06.29 18:01:40","70.71"
"2020.07.01 04:08:20","23.25"
"2020.07.09 00:01:00","-37.64"
"2020.07.10 19:17:40","49.27"
"2020.07.15 18:11:40","63.4"
"2020.07.22 00:00:30","-20.71"
"2020.07.24 11:36:40","67.65"
"2020.07.24 19:51:40","-474.04"
"2020.07.27 07:36:40","5.37"
"2020.07.28 21:14:40","-13.61"
"2020.07.29 13:31:20","-14.66"
"2020.07.31 06:21:40","84.68"
"2020.07.31 17:01:40","-22.5"
"2020.08.03 03:48:40","24.15"
"2020.08.05 17:51:40","12.28"
"2020.08.07 17:51:40","-5.61"
"2020.08.11 23:07:40","75.99"
"2020.08.12 15:57:40","33.12"
"2020.08.17 00:05:00","-25.75"
"2020.08.18 10:10:40","252.26"
"2020.08.19 04:31:40","-7.99"
"2020.08.28 15:33:40","50.47"
"2020.09.08 22:47:40","7.13"
"2020.09.15 00:00:00","0.219999999999999"
"2020.09.15 18:01:40","9.29"
"2020.09.16 13:53:40","-427.47"
"2020.09.16 20:37:40","75.19"
"2020.09.17 16:41:40","16.24"
"2020.09.18 16:27:40","10.34"
"2020.09.21 12:06:40","15.55"
"2020.09.22 23:59:40","1.29"
"2020.09.23 10:14:40","-20.32"
"2020.09.24 00:21:40","33.32"
"2020.09.28 00:03:30","-7.77"
"2020.09.30 05:48:40","-22.33"
"2020.10.02 09:27:40","47.5"
"2020.10.06 11:02:40","-15.95"
"2020.10.07 15:50:40","31.61"
"2020.10.13 07:18:40","0.75"
"2020.10.15 03:45:40","-4.68"
"2020.10.21 18:16:40","166.58"
"2020.10.28 14:50:40","52.78"
"2020.10.29 12:57:40","-461.21"
"2020.10.30 03:01:40","8.37"
"2020.11.02 12:11:40","7.61"
"2020.11.04 04:47:40","21.51"
"2020.11.05 13:04:40","-40.47"
"2020.11.06 14:27:40","-7.54"
"2020.11.09 14:48:40","248.31"
"2020.11.09 19:17:40","26.38"
"2020.11.16 12:05:40","59.37"
"2020.12.14 14:39:40","-430.09"
"2020.12.14 16:51:40","-88.74"
"2020.12.16 15:49:40","10.05"
"2020.12.17 18:01:40","44.14"
"2020.12.30 16:42:40","53.93"
"2021.01.04 14:05:40","17.94"
"2021.01.06 03:29:40","-27.08"
"2021.01.11 18:28:40","108.69"
"2021.01.21 02:33:40","-51.31"
"2021.01.21 15:38:40","-23.61"
"2021.01.25 07:36:40","9.69"
"2021.01.28 16:00:20","96.62"
"2021.01.29 12:58:40","69.01"
