date,close,high,low
2020.01.10,8040.97,8113.56,7662.48
2020.01.13,8113.98,8172.75,8031.09
2020.01.14,8722.65,8836.88,8089.59
2020.01.15,8806.31,8878.78,8543.88
2020.01.16,8661.92,8842.60,8567.57
2020.01.17,8887.83,8988.88,8647.88
2020.01.20,8652.85,8724.01,8482.40
2020.01.21,8703.36,8750.78,8469.04
2020.01.22,8621.03,8771.62,8554.92
2020.01.23,8364.56,8648.05,8262.48
2020.01.24,8477.86,8489.79,8202.76
2020.01.27,8926.99,8968.76,8519.42
2020.01.28,9025.14,9161.42,8857.43
2020.01.29,9337.66,9420.49,9021.38
2020.01.30,9537.11,9543.58,9170.40
2020.01.31,9333.02,9546.16,9182.71
2020.02.03,9255.59,9587.75,9204.12
2020.02.04,9119.02,9325.63,9062.25
2020.02.05,9670.53,9746.24,9113.22
2020.02.06,9720.14,9836.72,9512.04
2020.02.07,9728.13,9849.90,9637.92
2020.02.10,9850.72,10175.58,9741.91
2020.02.11,10222.25,10363.95,9695.01
2020.02.12,10371.87,10462.81,10204.02
2020.02.13,10165.32,10488.50,10070.61
2020.02.14,10328.74,10372.46,10086.49
2020.02.17,9630.22,9982.31,9457.71
2020.02.18,10140.67,10253.44,9595.17
2020.02.19,9599.20,10282.88,9298.58
2020.02.20,9593.48,9690.05,9399.08
2020.02.21,9653.63,9750.63,9561.23
2020.02.24,9588.32,10005.74,9470.90
2020.02.25,9366.21,9658.43,9229.24
2020.02.26,8726.98,9404.04,8607.39
2020.02.27,8737.97,8952.73,8506.81
2020.02.28,8653.31,8881.17,8419.98
2020.03.02,8926.53,8930.03,8471.92
2020.03.03,8719.56,8952.72,8644.12
2020.03.04,8715.07,8827.49,8652.84
2020.03.05,9097.80,9150.60,8710.77
2020.03.06,9117.59,9160.51,8982.03
2020.03.09,7839.19,8262.27,7616.11
2020.03.10,7979.10,8135.99,7719.84
2020.03.11,7843.00,8019.84,7574.12
2020.03.12,5694.96,7967.45,5574.94
2020.03.13,5421.23,5950.28,3883.11
2020.03.16,4888.93,6997.23,4410.12
2020.03.17,5453.66,7159.73,4850.47
2020.03.18,5322.27,5549.12,5006.14
2020.03.19,6238.06,6380.87,5251.61
2020.03.20,5951.47,6928.72,5657.72
2020.03.23,6399.48,6619.25,5669.07
2020.03.24,6735.26,6850.09,6342.07
2020.03.25,6615.77,6964.82,6457.28
2020.03.26,6727.21,6775.78,6515.76
2020.03.27,6664.75,6847.37,6570.67
2020.03.30,6457.86,6490.00,5837.96
2020.03.31,6462.81,6599.10,6323.59
2020.04.01,6333.48,6477.69,6139.53
2020.04.02,6733.55,7223.12,6340.58
2020.04.03,6689.48,7028.84,6600.99
2020.04.06,7213.00,7294.72,6710.14
2020.04.07,7106.40,7437.32,7063.45
2020.04.08,7304.51,7404.69,7071.80
2020.04.09,7284.65,7375.94,7110.54
2020.04.10,6895.03,7303.16,6732.42
2020.04.13,6802.26,7124.18,6574.00
2020.04.14,6868.04,6974.00,6755.85
2020.04.15,6741.13,6933.61,6681.48
2020.04.16,7051.86,7137.24,6472.42
2020.04.17,7055.06,7202.04,6994.38
2020.04.20,6860.66,7215.66,6751.00
2020.04.21,6888.22,6942.39,6765.61
2020.04.22,7113.36,7158.15,6819.91
2020.04.23,7531.44,7740.92,7023.24
2020.04.24,7521.36,7612.01,7390.73
2020.04.27,7701.73,7794.18,7582.92
2020.04.28,7729.95,7788.02,7663.36
2020.04.29,8924.23,8963.15,7712.90
2020.04.30,8814.32,9463.79,8401.24
2020.05.01,8699.78,9064.91,8577.31
2020.05.04,8907.51,8955.61,8526.91
2020.05.05,8946.52,9110.26,8769.26
2020.05.06,9240.00,9389.49,8912.90
2020.05.07,9797.41,9957.53,9025.60
2020.05.08,9981.90,10067.35,9723.52
2020.05.11,8631.30,9160.56,8192.37
2020.05.12,8815.66,8972.43,8464.18
2020.05.13,9290.17,9331.27,8738.36
2020.05.14,9649.72,9936.14,9254.86
2020.05.15,9241.75,9844.45,9132.31
2020.05.18,9665.73,9931.15,9409.55
2020.05.19,9681.02,9889.89,9457.03
2020.05.20,9584.33,9828.00,9304.39
2020.05.21,9048.67,9583.63,8792.42
2020.05.22,9191.59,9258.27,8910.83
2020.05.25,8908.62,9073.48,8632.73
2020.05.26,8850.06,9004.68,8688.67
2020.05.27,9155.49,9217.48,8796.23
2020.05.28,9436.65,9532.50,9045.70
2020.05.29,9410.51,9615.12,9324.29
2020.06.01,9672.98,9687.72,9377.53
2020.06.02,9514.01,10375.84,9268.18
2020.06.03,9571.32,9642.22,9384.09
2020.06.04,9777.70,9875.82,9450.20
2020.06.05,9690.53,9851.86,9595.77
2020.06.08,9699.57,9792.88,9639.86
2020.06.09,9741.48,9877.87,9571.38
2020.06.10,9861.68,9993.59,9691.85
2020.06.11,9333.54,9964.91,9047.07
2020.06.12,9461.25,9544.68,9219.99
2020.06.15,9472.20,9480.71,8893.55
2020.06.16,9482.14,9581.08,9370.89
2020.06.17,9362.76,9550.32,9230.24
2020.06.18,9330.43,9471.68,9298.36
2020.06.19,9298.62,9417.87,9221.85
2020.06.22,9640.26,9661.10,9262.40
2020.06.23,9618.19,9774.35,9565.35
2020.06.24,9277.68,9660.18,9186.43
2020.06.25,9265.91,9313.12,8984.42
2020.06.26,9193.34,9323.94,9019.98
2020.06.29,9173.95,9187.19,9003.36
2020.06.30,9140.19,9227.19,9054.14
2020.07.01,9230.97,9291.49,9081.18
2020.07.02,9075.86,9261.65,8930.96
2020.07.03,9083.01,9142.06,9033.58
2020.07.06,9266.14,9345.61,8909.65
2020.07.07,9250.12,9375.91,9193.24
2020.07.08,9422.93,9466.91,9181.97
2020.07.09,9228.49,9464.41,9153.44
2020.07.10,9222.08,9252.65,9108.86
2020.07.13,9237.25,9334.01,9186.78
2020.07.14,9266.74,9275.21,9101.49
2020.07.15,9203.19,9271.62,9142.42
2020.07.16,9094.33,9222.32,9026.31
2020.07.17,9148.48,9175.85,9069.10
2020.07.20,9167.39,9215.54,9123.17
2020.07.21,9370.16,9435.44,9143.81
2020.07.22,9365.68,9392.49,9276.23
2020.07.23,9582.50,9672.28,9356.76
2020.07.24,9615.65,9628.74,9463.82
2020.07.27,10882.77,10945.61,9842.31
2020.07.28,10976.29,11405.12,10576.07
2020.07.29,11213.77,11294.37,10846.98
2020.07.30,11147.23,11348.21,10842.54
2020.07.31,11345.89,11452.25,10967.35
2020.08.03,11378.58,11477.22,10928.70
2020.08.04,11213.14,11418.37,11019.62
2020.08.05,11693.25,11726.13,11098.65
2020.08.06,11845.89,11910.45,11544.11
2020.08.07,11565.08,11916.69,11336.16
2020.08.10,11853.43,12075.59,11602.93
2020.08.11,11205.53,11938.55,11127.57
2020.08.12,11561.29,11621.46,11121.71
2020.08.13,11612.92,11657.03,11268.40
2020.08.14,11766.69,11859.17,11601.57
2020.08.17,12316.99,12469.85,11766.55
2020.08.18,12026.40,12416.84,11822.44
2020.08.19,11704.24,12087.59,11567.00
2020.08.20,11854.44,11886.43,11657.30
2020.08.21,11638.57,11889.05,11601.18
2020.08.24,11728.52,11824.55,11585.27
