"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"Broker Killer v 2 .2 by @SoftechFX_Robot","USDJPY",,0.0,0.0,0.0,
"ClevrFX_EA","EURUSD",1.84,1057.0,17690.65,38.13,
"EA_FLy_HiGhEr","EURUSD",0.03,199.0,-9045.48,90.62,
"Forex Hacked Pro","EURUSD",0.06,147.0,-10824.59,108.01,
"Forexthai4pip","USDJPY",,0.0,0.0,0.0,
"forexthaipop.blogspot.com v.1","EURUSD",0.03,46.0,-8719.78,87.37,
"Fxcore100_BUY","USDJPY",,0.0,0.0,0.0,
"Fxcore100_SELL","EURUSD",1.86,10188.0,11781.84,26.26,
"Miracle MT4 (audcad , audnzd , nzdcad 15 min)","EURUSD",1.7,9720.0,13221.82,57.01,
"MoneyTree_Buy","EURUSD",1.63,956.0,5496.06,69.6,
"MoneyTree_Sell","EURUSD",1.63,956.0,5496.06,69.6,
"Hedgingprofit EA v2","USDJPY",,0.0,0.0,0.0,
"AW Recovery EA V3.3_NEW","USDJPY",,0.0,0.0,0.0,
"Mood 2.0","USDJPY",,0.0,0.0,0.0,
"Elise Hedging EA","USDJPY",,0.0,0.0,0.0,
"Alpha Striker SMC","USDJPY",,0.0,0.0,0.0,
