"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"TradePad_Current_Timeframe","EURUSD",,,,,NO_REPORT
"UnNomGuaiV1.132","EURUSD",1.83,3465.0,7866.87,19.01,SPREAD30
"2020v2","EURUSD",1.23,348.0,665.75,65.43,SPREAD30
"2020v2","USDJPY",,0.0,0.0,0.0,SPREAD30
"Automated Forex Grail","EURUSD",0.62,664.0,-9920.12,99.2,SPREAD30
"Envelope 2","EURUSD",0.98,377.0,-367.46,43.91,
"Envelope 2","USDJPY",,0.0,0.0,0.0,
"FZ2","EURUSD",3.05,2402.0,9855.31,4.77,
"FZ2","USDJPY",,0.0,0.0,0.0,
"Phoenix_EA_v5_6_03","USDJPY",,0.0,0.0,0.0,
"MACrossoverMaster","EURUSD",0.97,1204.0,-2230.38,39.07,
"MACrossoverMaster","USDJPY",,0.0,0.0,0.0,
"swb grid 4.1.0.3_h","EURUSD",2.1,1842.0,14265.57,51.76,
"swb grid 4.1.0.3_h","USDJPY",,0.0,0.0,0.0,
"SUPERTRENDSURFER","EURUSD",0.96,3738.0,-4711.47,87.18,
"Oracle EA","EURUSD",1.9,1276.0,9988.34,36.08,
"EA SCALP RENKO v2.3","EURUSD",0.96,2389.0,-9938.15,99.44,
"EA SCALP RENKO v2.3","USDJPY",,0.0,0.0,0.0,
"ema_crossmod","EURUSD",0.56,132.0,-9705.18,98.62,
"Expert","EURUSD",1.11,735.0,12904.46,31.58,
"Expert","USDJPY",,0.0,0.0,0.0,
"EAForexTH_Scalper_S3_1.0","EURUSD",10.71,1044.0,19155.46,12.98,
"EAForexTH_Scalper_S3_1.0","USDJPY",,0.0,0.0,0.0,
"GBPJPY1H90PCWR","USDJPY",,0.0,0.0,0.0,
"killer_sell","USDJPY",,0.0,0.0,0.0,
"GridMACDMEURUSD","USDJPY",,0.0,0.0,0.0,
"MA_MA_2-35_EA","EURUSD",0.8,1352.0,-3529.46,39.5,
"EAForexTH_MultiHedge_1.0","EURUSD",1.61,887.0,1119.77,20.31,
"VisualMartiEA","EURUSD",,,,,NO_REPORT
"firebird v63f","EURUSD",0.87,5803.0,-2338.97,29.2,
"Moving Average","EURUSD",0.81,866.0,-3057.17,41.87,
"Yetti3+NewsSherry","EURUSD",1.25,12005.0,1953.07,26.34,
"Yetti3+NewsSherry","USDJPY",,0.0,0.0,0.0,
"143 E4.7.4 v1","EURUSD",0.85,3299.0,-7810.16,94.38,
