ea,symbol,y2020_pf,y2021_pf,y2022_pf,full_pf,full_net,full_baldd,eqdd_max,note
(Oh) Arbitrage Super Profit V04,EURUSD,1.56,1.27,1.75,1.64,99074.85,0.84,1.47,
(oh) continue v06,EURUSD,0.21,,,0.21,-2958.75,33.33,41.76,
(oh) fibo gold v06,USDJPY,0.99,0.86,0.99,0.95,-57.67,1.32,1.41,
(Oh) Grid Upper lower V23,EURUSD,0.17,,,0.17,-8433.89,85.42,87.05,
(oh) grid v05,EURUSD,1.11,1.16,0.72,0.89,-2476.79,36.81,93.53,
(oh) Master GRID ATR Accumulative Deduction -B V23,EURUSD,0.16,,,0.16,-6953.33,70.38,71.75,
(oh) pun lot hedging v15,USDJPY,0.44,,,0.44,-7330.85,78.77,81.18,
PumLot V.1.1 exp mt5,EURUSD,,,,,,,,NO_REPORT
EA Black Dragon MT5 V13 @SoftechFX_Robot,EURUSD,3.43,0.38,,1.09,1860.3,51.86,52.36,
Scalping-EA-AsReMix,USDJPY,1.05,1.56,2.99,1.88,8697.43,8.63,8.89,
BOO - EA Gold Mean Reversion _ Fibo Scalping V4.2,EURUSD,inf,2.01,0.03,0.27,-8887.4,91.1,92.39,
EX39.PU-test,XAUUSD,1.96,2.00,1.86,1.93,914.52,2.65,69.54,
AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE,AUDNZD,0.75,,,0.75,-2647.13,49.78,51.13,
IR Whale Track Expiry,XAUUSD,0.02,,,0.02,-8276.85,82.9,106.5,
SL=2GRIDE MQL5,EURUSD,0.93,1.35,1.25,1.13,832.98,7.99,10.87,
The One 1.0.3 EA V1.0 MT5@YoForexPremium,XAUUSD,1.02,1.19,1.20,1.14,10769.32,31.45,31.52,
EA GOLD CENTER V.2 Expried 11.04.2025,AUDNZD,1.93,0.09,,0.34,-3050.03,35.51,35.52,
JMAR EXPERTS for CRASH AND BOOM trailstop strategy,XAUUSD,0.79,0.86,,0.81,-9923.67,99.3,99.31,
PROFIT PLANET CURRENCY MT5,XAUUSD,,,,,,,,NO_REPORT
