strategy,tf,pf,trades,net,dd_pct
S1_EmaScalp,M1,0.64,19855,-3186.65,31.91
S1_EmaScalp,M5,0.55,4688,-995.78,9.96
S1_EmaScalp,M15,0.52,2249,-536.45,5.38
S2_RangeFade,M5,1.26,190,30.32,0.41
S2_RangeFade,M15,0.49,55,-18.59,0.25
S3_MomentumBurst,M1,0.56,17194,-3143.61,31.55
S3_MomentumBurst,M5,0.7,3485,-413.15,4.32
S3_MomentumBurst,M15,0.81,1600,-109.97,1.5
S4_AsianPingPong,M5,0.43,4744,-1031.05,10.46
S4_AsianPingPong,M15,0.53,1058,-195.66,2
S5_PostNewsReversion,M5,0,0,0.00,0
S5_PostNewsReversion,M15,0,0,0.00,0
