thread,cellname,window,pf,trades,net
A_regression,gateoff,MAIN,0.86,502,-26.38
A_regimegate,gateon,MAIN,0.86,317,-15.87
A_regimegate,gateon,BWD,1.18,265,14.97
A_regression,gateoff,BWD,1.24,500,36.23
B_S3optimize,bd1_sl40,MAIN,0.88,1021,-34.95
B_S3optimize,bd1_sl40,BWD,1.05,970,12.09
B_S3optimize,bd1_sl80,MAIN,0.91,1021,-38.57
B_S3optimize,bd1_sl80,BWD,1,983,0.09
B_S3optimize,bd2_sl40,MAIN,1.05,237,3.18
B_S3optimize,bd2_sl40,BWD,1.36,230,19.32
B_S3optimize,bd2_sl80,MAIN,0.89,237,-10.61
B_S3optimize,bd2_sl80,BWD,1.17,232,14.17
C_S5optimize,sb2_ex150,MAIN,0.77,4768,-847.16
C_S5optimize,sb2_ex150,BWD,0.7,4437,-1070.33
C_S5optimize,sb2_ex300,MAIN,0.76,3240,-597.23
C_S5optimize,sb2_ex300,BWD,0,0,0
C_S5optimize,sb2p5_ex150,MAIN,0.76,1665,-300.23
C_S5optimize,sb2p5_ex150,BWD,0.72,1667,-374.37
C_S5optimize,sb2p5_ex300,MAIN,0.74,1232,-254.76
C_S5optimize,sb2p5_ex300,BWD,0.67,1008,-273.71
C_S5optimize,sb3p5_ex150,MAIN,0.76,319,-60.00
C_S5optimize,sb3p5_ex150,BWD,0.66,322,-89.12
C_S5optimize,sb3p5_ex300,MAIN,0.76,267,-49.50
C_S5optimize,sb3p5_ex300,BWD,0.64,241,-72.60
