"mode","atr","window","pf","dd_pct","trades"
"FIXED",1,"BWD",7.17,1.29,48.0
"FIXED",1,"FWD",7.64,1.31,34.0
"FIXED",1.5,"BWD",5.35,2.1,39.0
"FIXED",1.5,"FWD",6.48,1.07,33.0
"FIXED",2.5,"BWD",4.96,1.38,37.0
"FIXED",2.5,"FWD",7.92,2.14,25.0
"FIXED",4,"BWD",7.35,1.04,29.0
"FIXED",4,"FWD",0.26,15.56,26.0
"LINEAR",1,"BWD",4.87,3.2,45.0
"LINEAR",1,"FWD",5.44,1.25,32.0
"LINEAR",1.5,"BWD",5.76,3.03,38.0
"LINEAR",1.5,"FWD",5.54,1.39,32.0
"LINEAR",2.5,"BWD",2.51,2.79,38.0
"LINEAR",2.5,"FWD",3.55,1.84,29.0
"LINEAR",4,"BWD",3.84,1.64,28.0
"LINEAR",4,"FWD",0.29,15.51,26.0
"LOG",1,"BWD",4.87,3.2,45.0
"LOG",1,"FWD",5.44,1.25,32.0
"LOG",1.5,"BWD",5.76,3.03,38.0
"LOG",1.5,"FWD",5.54,1.39,32.0
"LOG",2.5,"BWD",2.51,2.79,38.0
"LOG",2.5,"FWD",3.55,1.84,29.0
"LOG",4,"BWD",3.84,1.64,28.0
"LOG",4,"FWD",0.29,15.51,26.0
