"tl","pb","mart","window","pf","dd_pct","trades"
"true","true",1.3,"BWD",5.83,2.04,34.0
"true","true",1.3,"FWD",2.06,9.24,27.0
"true","true",1.6,"BWD",3.41,3.42,36.0
"true","true",1.6,"FWD",2.44,9.21,27.0
"true","false",1.3,"BWD",4.61,2.64,39.0
"true","false",1.3,"FWD",6.48,1.07,33.0
"true","false",1.6,"BWD",4.04,4.55,39.0
"true","false",1.6,"FWD",5.13,1.1,33.0
"false","true",1.3,"BWD",1.15,23.81,321.0
"false","true",1.3,"FWD",1.38,24.6,238.0
"false","true",1.6,"BWD",1.51,15.79,490.0
"false","true",1.6,"FWD",0.67,35.56,269.0
"false","false",1.3,"BWD",0.53,51.91,426.0
"false","false",1.3,"FWD",0.75,38.28,385.0
"false","false",1.6,"BWD",0.57,75.67,647.0
"false","false",1.6,"FWD",0.68,57.4,453.0
