"ea","symbol","window","pf","dd_pct","trades"
"BRK","XAGUSD","BWD",0.61,3.96,83.0
"BRK","XAGUSD","HOLDOUT",0.85,2.26,87.0
"BRK","XAGUSD","FWD",1.0,5.19,66.0
"BRK","WTI","BWD",2.04,0.08,35.0
"BRK","WTI","HOLDOUT",1.6,0.02,10.0
"BRK","WTI","FWD",1.64,0.13,9.0
"BRK","BRENT","BWD",0.87,0.15,66.0
"BRK","BRENT","HOLDOUT",0.64,0.07,17.0
"BRK","BRENT","FWD",0.98,0.19,22.0
"ZEUS","XAGUSD","BWD",1.5,1.46,45.0
"ZEUS","XAGUSD","HOLDOUT",0.85,3.86,93.0
"ZEUS","XAGUSD","FWD",1.43,6.45,196.0
"ZEUS","WTI","BWD",2.74,0.26,151.0
"ZEUS","WTI","HOLDOUT",0.94,0.63,163.0
"ZEUS","WTI","FWD",1.08,0.68,145.0
"ZEUS","BRENT","BWD",2.14,0.28,147.0
"ZEUS","BRENT","HOLDOUT",0.85,0.56,117.0
"ZEUS","BRENT","FWD",1.62,0.63,82.0
