"ea","symbol","pf","net","dd_pct","trades","note"
"UnNomGuaiV1.132","EURUSD",2.06,819.12,4.73,329.0,
"UnNomGuaiV1.132","GBPUSD",1.92,1086.77,7.77,478.0,
"UnNomGuaiV1.132","USDJPY",0.39,-1787.94,23.83,336.0,
"UnNomGuaiV1.132","USDCHF",1.73,418.74,3.42,224.0,
"UnNomGuaiV1.132","USDCAD",0.33,-1554.96,24.18,256.0,
"UnNomGuaiV1.132","AUDUSD",3.01,901.52,2.03,366.0,
"UnNomGuaiV1.132","NZDUSD",1.6,338.69,4.31,248.0,
"UnNomGuaiV1.132","EURJPY",2.08,637.58,9.74,328.0,
"UnNomGuaiV1.132","GBPJPY",2.0,1122.13,28.64,411.0,
"UnNomGuaiV1.132","EURGBP",2.06,204.13,2.42,106.0,
"UnNomGuaiV1.132","AUDCAD",2.46,695.38,3.5,355.0,
"UnNomGuaiV1.132","EURAUD",2.7,907.36,2.85,468.0,
"RSI from pips_EA","EURUSD",2.59,277.57,1.99,149.0,
"RSI from pips_EA","GBPUSD",3.07,133.77,1.25,71.0,
"RSI from pips_EA","USDJPY",0.08,-87.83,1.1,14.0,
"RSI from pips_EA","USDCHF",,8.15,0.04,4.0,
"RSI from pips_EA","USDCAD",0.26,-49.99,1.17,17.0,
"RSI from pips_EA","AUDUSD",3.75,315.76,0.73,171.0,
"RSI from pips_EA","NZDUSD",0.78,-0.57,0.06,3.0,
"RSI from pips_EA","EURJPY",1.77,3.1,0.15,7.0,
"RSI from pips_EA","GBPJPY",2.05,8.28,0.28,8.0,
"RSI from pips_EA","EURGBP",7.15,14.41,0.08,9.0,
"RSI from pips_EA","AUDCAD",4.43,280.36,0.92,191.0,
"RSI from pips_EA","EURAUD",0.62,-3.04,0.1,7.0,
"swb grid 4.1.0.3_h","EURUSD",2.5,1262.31,6.88,175.0,
"swb grid 4.1.0.3_h","GBPUSD",2.82,1805.06,10.15,222.0,
"swb grid 4.1.0.3_h","USDJPY",2.88,1126.79,3.14,161.0,
"swb grid 4.1.0.3_h","USDCHF",3.06,880.76,3.29,114.0,
"swb grid 4.1.0.3_h","USDCAD",1.33,445.67,23.93,114.0,
"swb grid 4.1.0.3_h","AUDUSD",3.3,1139.7,5.04,164.0,
"swb grid 4.1.0.3_h","NZDUSD",2.47,743.77,3.41,124.0,
"swb grid 4.1.0.3_h","EURJPY",3.03,1102.2,2.63,148.0,
"swb grid 4.1.0.3_h","GBPJPY",3.19,1627.62,3.59,216.0,
"swb grid 4.1.0.3_h","EURGBP",2.65,365.33,3.24,65.0,
"swb grid 4.1.0.3_h","AUDCAD",3.25,1099.14,5.78,159.0,
"swb grid 4.1.0.3_h","EURAUD",4.65,1891.61,20.57,138.0,
