date,close,high,low
2020.01.10,142.62,144.52,134.59
2020.01.13,143.45,146.21,141.40
2020.01.14,163.49,169.89,142.76
2020.01.15,164.50,171.05,158.41
2020.01.16,162.44,166.48,157.89
2020.01.17,170.13,173.31,161.31
2020.01.20,166.24,166.92,160.43
2020.01.21,168.17,169.06,164.02
2020.01.22,166.77,170.23,165.01
2020.01.23,161.48,167.08,158.11
2020.01.24,162.36,163.50,154.43
2020.01.27,170.43,170.99,164.16
2020.01.28,171.33,173.59,168.58
2020.01.29,174.91,177.79,171.18
2020.01.30,184.12,184.26,169.81
2020.01.31,179.91,185.98,174.44
2020.02.03,188.66,194.29,185.79
2020.02.04,186.67,190.58,183.69
2020.02.05,205.93,207.02,186.41
2020.02.06,212.60,215.37,200.48
2020.02.07,218.76,223.48,210.06
2020.02.10,221.81,228.86,216.14
2020.02.11,236.63,238.79,217.17
2020.02.12,269.55,275.13,235.67
2020.02.13,262.07,277.11,255.65
2020.02.14,281.98,284.90,259.47
2020.02.17,259.47,262.64,241.96
2020.02.18,280.53,285.68,258.56
2020.02.19,261.63,286.09,251.06
2020.02.20,258.61,265.94,244.94
2020.02.21,262.22,267.67,253.58
2020.02.24,261.19,277.26,256.17
2020.02.25,249.56,265.78,244.00
2020.02.26,223.06,252.24,214.70
2020.02.27,225.43,237.55,209.11
2020.02.28,225.60,233.75,213.03
2020.03.02,232.26,233.71,214.03
2020.03.03,223.14,232.38,219.39
2020.03.04,222.16,227.43,219.77
2020.03.05,230.36,233.63,222.09
2020.03.06,240.21,240.96,226.10
2020.03.09,197.64,210.57,189.18
2020.03.10,202.26,205.49,194.45
2020.03.11,192.01,202.79,180.95
2020.03.12,127.87,195.00,123.34
2020.03.13,128.05,143.66,87.73
2020.03.16,108.83,132.72,99.78
2020.03.17,118.61,120.61,106.62
2020.03.18,115.86,119.88,109.56
2020.03.19,136.84,140.77,114.45
2020.03.20,124.46,152.69,115.25
2020.03.23,131.69,137.35,118.75
2020.03.24,139.14,143.48,130.64
2020.03.25,135.10,142.19,132.32
2020.03.26,136.01,138.23,132.91
2020.03.27,136.72,140.95,133.99
2020.03.30,133.39,134.15,123.33
2020.03.31,134.02,134.76,129.74
2020.04.01,131.37,134.45,128.25
2020.04.02,139.93,148.98,131.10
2020.04.03,139.99,146.14,137.24
2020.04.06,163.36,166.77,141.28
2020.04.07,162.79,175.75,161.55
2020.04.08,171.38,173.92,161.93
2020.04.09,169.68,173.10,164.63
2020.04.10,157.97,170.41,151.69
2020.04.13,155.94,163.98,149.13
2020.04.14,158.25,161.40,154.98
2020.04.15,156.89,160.76,154.43
2020.04.16,171.76,173.90,147.50
2020.04.17,170.28,174.46,167.73
2020.04.20,171.08,185.90,165.92
2020.04.21,171.98,174.18,167.66
2020.04.22,182.32,183.58,169.31
2020.04.23,188.28,193.44,177.71
2020.04.24,187.56,190.25,182.56
2020.04.27,193.01,198.70,188.87
2020.04.28,195.69,197.18,191.74
2020.04.29,216.16,218.75,195.21
2020.04.30,210.89,226.72,201.61
2020.05.01,208.80,216.86,204.57
2020.05.04,206.47,210.91,194.38
2020.05.05,204.24,211.43,200.58
2020.05.06,204.82,210.51,201.32
2020.05.07,211.06,214.60,195.98
2020.05.08,213.53,216.27,206.43
2020.05.11,186.06,193.01,175.67
2020.05.12,188.88,191.68,183.11
2020.05.13,197.49,198.69,186.28
2020.05.14,202.01,205.46,195.03
2020.05.15,192.65,203.84,190.77
2020.05.18,212.17,216.23,205.39
2020.05.19,211.88,215.08,208.58
2020.05.20,209.77,214.76,204.82
2020.05.21,198.16,210.79,190.64
2020.05.22,207.97,208.53,195.38
2020.05.25,204.18,207.19,197.25
2020.05.26,201.45,204.30,196.05
2020.05.27,205.74,207.02,199.60
2020.05.28,213.84,214.92,203.79
2020.05.29,219.33,224.06,212.85
2020.06.01,241.03,241.89,228.91
2020.06.02,235.76,252.59,225.36
2020.06.03,240.94,242.24,232.59
2020.06.04,240.90,245.94,235.41
2020.06.05,240.05,247.25,238.42
2020.06.08,241.68,244.81,240.28
2020.06.09,242.79,249.29,233.12
2020.06.10,247.11,249.72,241.50
2020.06.11,231.63,249.37,224.66
2020.06.12,237.08,238.64,227.26
2020.06.15,231.95,233.46,217.28
2020.06.16,232.94,235.18,228.08
2020.06.17,230.27,236.45,226.93
2020.06.18,228.07,233.69,227.19
2020.06.19,228.34,231.78,225.72
2020.06.22,244.01,244.33,226.23
2020.06.23,242.64,246.13,239.95
2020.06.24,233.99,248.46,230.12
2020.06.25,232.83,234.76,226.45
2020.06.26,229.73,234.04,226.67
2020.06.29,226.60,227.25,220.23
2020.06.30,224.75,229.12,222.12
2020.07.01,230.66,232.11,223.35
2020.07.02,225.55,231.49,222.36
2020.07.03,226.10,227.55,224.64
2020.07.06,237.51,240.04,222.79
