time,profit
2023.01.03 05:22:33,11.18
2023.01.04 09:44:03,24.08
2023.01.04 09:44:14,15.99
2023.01.05 09:56:04,8.25
2023.01.05 15:53:03,23.52
2023.01.06 15:43:07,25.16
2023.01.09 02:02:58,82.22
2023.01.09 04:42:00,17.70
2023.01.10 22:35:27,13.30
2023.01.11 07:38:22,36.21
2023.01.11 18:17:29,67.97
2023.01.12 14:21:32,29.58
2023.01.12 15:35:24,50.03
2023.01.13 17:00:13,73.53
2023.01.16 01:05:00,-17.45
2023.01.16 01:05:00,41.90
2023.01.16 01:05:00,-352.66
2023.01.16 01:05:00,-248.42
2023.01.19 21:25:13,26.52
2023.01.24 10:01:41,30.81
2023.01.25 22:03:56,20.15
2023.01.26 01:21:37,43.39
2023.01.26 16:49:14,52.56
2023.01.27 17:48:37,74.02
2023.01.31 07:37:39,-123.97
2023.01.31 07:37:39,-224.18
2023.01.31 07:37:39,-139.30
2023.01.31 07:37:39,-20.47
2023.02.03 19:15:42,16.32
2023.02.03 19:15:42,26.79
2023.02.03 19:15:42,32.48
2023.02.03 19:15:42,54.48
2023.02.06 10:17:10,13.54
2023.02.06 17:43:35,24.20
2023.02.07 19:45:31,33.75
2023.02.07 19:47:46,13.52
2023.02.09 22:28:20,30.81
2023.02.10 05:33:45,10.25
2023.02.13 18:04:49,75.14
2023.02.14 04:11:17,-104.74
2023.02.14 04:11:17,-39.74
2023.02.14 04:11:17,-214.31
2023.02.14 04:11:17,-140.95
2023.02.17 06:18:34,7.14
2023.02.17 06:36:31,13.00
2023.02.21 09:47:25,9.85
2023.02.22 20:46:41,10.81
2023.02.24 14:10:04,18.15
2023.02.24 16:43:20,28.40
2023.02.28 10:17:16,17.66
2023.02.28 18:05:16,40.33
2023.03.01 08:47:28,18.45
2023.03.03 20:57:15,181.24
2023.03.03 22:12:26,4.02
2023.03.06 01:05:00,-85.09
2023.03.06 01:05:00,-8.07
2023.03.06 01:05:00,-244.82
2023.03.06 01:05:00,-293.62
2023.03.09 15:59:53,6.45
2023.03.09 20:50:59,11.74
2023.03.10 16:37:11,21.72
2023.03.13 05:57:19,41.88
2023.03.13 05:57:19,9.99
2023.03.13 05:57:19,49.15
2023.03.13 05:57:19,29.14
2023.03.15 11:02:42,21.27
2023.03.17 15:34:41,31.49
2023.03.17 17:00:17,99.16
2023.03.17 17:00:20,1.40
2023.03.17 17:00:20,44.65
2023.03.17 17:00:20,95.69
2023.03.17 17:00:20,-131.75
2023.03.22 20:03:25,12.33
2023.03.23 16:56:34,28.84
2023.04.04 17:14:15,97.53
2023.04.04 17:21:49,70.53
2023.05.04 01:01:31,117.59
2023.05.04 01:01:31,140.45
2023.05.05 17:05:31,-210.66
2023.05.05 17:05:31,-172.24
2023.05.05 17:05:31,-80.14
2023.05.05 17:05:31,-37.14
2023.05.10 18:10:18,14.26
2023.05.11 14:22:44,14.60
2023.05.11 16:50:43,40.75
2023.05.12 09:15:33,55.06
2023.05.12 12:43:27,38.20
2023.05.15 08:17:43,14.40
2023.05.16 19:31:46,79.50
2023.05.18 16:19:34,133.63
2023.05.19 01:01:30,8.52
2023.05.19 01:01:30,-253.45
2023.05.19 01:01:30,-259.45
2023.05.19 01:01:30,-84.56
2023.05.24 17:06:21,16.74
2023.05.25 15:34:10,85.21
2023.06.21 16:39:35,150.45
2023.06.22 07:59:01,-5.74
2023.06.22 07:59:01,-273.41
2023.06.22 07:59:01,-135.87
2023.06.22 07:59:01,-62.27
2023.06.27 17:00:08,4.60
2023.06.29 15:33:01,26.50
2023.06.29 15:52:55,30.04
2023.06.29 15:53:01,33.51
2023.07.03 16:16:38,33.32
2023.07.05 16:20:11,26.28
2023.07.06 15:23:10,26.53
2023.07.11 09:40:11,0.33
2023.07.12 03:32:47,8.30
2023.07.12 15:33:00,39.65
2023.07.12 16:53:59,65.60
2023.07.18 14:16:37,41.07
2023.07.21 11:59:39,-141.76
2023.07.21 11:59:39,-6.49
2023.07.21 11:59:39,-207.52
2023.07.21 11:59:39,-114.43
2023.07.26 09:51:09,5.04
2023.07.28 15:30:10,32.52
2023.07.31 11:50:14,10.72
2023.07.31 15:31:06,18.32
2023.08.15 15:30:07,-328.00
2023.08.15 15:30:07,145.42
2023.08.15 15:30:07,-181.89
2023.08.15 15:30:07,-85.86
2023.08.22 09:23:37,14.95
2023.08.23 16:27:22,42.48
2023.08.23 16:27:28,49.36
2023.08.28 18:44:11,11.36
2023.08.29 05:54:52,6.70
2023.08.29 17:03:51,29.21
2023.08.29 17:04:27,18.20
2023.09.27 07:30:49,-259.88
2023.09.27 07:30:49,-170.73
2023.09.27 07:30:49,-6.08
2023.09.27 07:30:49,-0.12
2023.10.02 08:49:55,25.30
2023.10.02 12:03:18,26.77
2023.10.02 12:30:24,20.10
2023.10.03 02:10:31,28.98
2023.10.03 02:14:12,21.73
2023.10.05 15:38:20,10.39
2023.10.06 04:42:54,8.40
2023.10.06 16:31:50,8.55
2023.10.09 01:05:01,69.18
2023.10.11 10:42:48,60.98
2023.10.12 04:35:03,129.59
2023.10.12 09:40:46,82.65
2023.10.12 14:43:46,35.28
2023.10.13 06:04:46,11.13
2023.10.13 10:47:04,40.53
2023.10.13 14:39:07,76.72
2023.10.13 15:31:59,128.31
2023.10.13 15:34:22,-235.78
2023.10.13 15:34:22,-379.68
2023.10.13 15:34:22,-95.74
2023.10.18 14:33:12,18.42
2023.10.18 16:31:01,45.60
2023.10.18 16:38:38,42.08
2023.10.18 16:38:41,34.00
2023.10.20 19:06:38,-0.33
2023.10.23 10:34:03,10.08
2023.10.24 14:00:15,19.30
2023.10.26 07:54:51,18.23
2023.10.26 11:36:56,23.10
2023.10.27 21:06:28,20.37
2023.10.27 21:06:29,50.58
2023.10.31 20:22:07,86.08
2023.11.07 14:43:36,242.73
2023.11.08 01:01:30,-95.90
2023.11.08 01:01:30,-296.19
2023.11.08 01:01:30,-29.50
2023.11.08 01:01:30,-63.61
2023.11.13 01:30:35,17.60
2023.11.14 16:38:06,16.34
2023.11.15 12:23:13,17.40
2023.11.15 12:23:53,17.65
2023.11.16 08:15:32,4.80
2023.11.16 15:33:01,14.91
2023.11.21 16:39:03,71.73
2023.11.21 16:51:22,34.32
2023.11.21 16:53:50,79.58
2023.11.27 03:16:53,5.57
2023.11.27 03:27:55,41.49
2023.11.28 15:42:34,26.53
2023.11.28 16:16:00,48.42
2023.11.28 18:09:55,75.61
2023.11.29 02:00:21,74.14
2023.11.29 02:47:45,81.33
2023.11.30 12:20:16,-137.32
2023.11.30 12:20:16,-130.62
2023.11.30 12:20:16,-37.22
2023.11.30 12:20:16,-151.32
2023.12.08 19:14:56,94.33
2023.12.11 16:32:08,62.95
2023.12.11 17:37:22,80.92
2023.12.13 21:36:25,-210.99
2023.12.13 21:36:25,-135.21
2023.12.13 21:36:25,-127.83
2023.12.13 21:36:25,29.24
2023.12.19 15:00:02,5.79
2023.12.19 16:37:34,20.96
2023.12.22 13:24:45,57.39
2023.12.27 17:13:43,84.40
2023.12.28 01:01:31,-42.86
2023.12.28 01:01:31,-212.40
2023.12.28 01:01:31,-157.19
2023.12.28 01:01:31,-55.58
2024.01.03 13:42:18,22.77
2024.01.03 14:06:38,40.88
2024.01.03 16:36:26,37.47
2024.01.03 16:36:47,26.41
2024.01.04 08:22:10,7.89
2024.01.05 15:30:06,32.58
2024.01.05 17:00:00,22.75
2024.01.05 17:00:17,19.43
2024.01.08 13:18:30,48.36
2024.01.08 13:18:35,77.90
2024.01.08 15:13:47,16.24
2024.01.11 18:34:27,-110.29
2024.01.11 18:34:27,-78.49
2024.01.11 18:34:27,-128.47
2024.01.11 18:34:27,-110.34
2024.01.16 10:33:57,9.10
2024.01.16 19:07:21,25.42
2024.01.17 16:59:24,28.38
2024.01.17 16:59:26,26.47
2024.01.17 17:00:23,32.64
2024.01.18 22:35:45,30.27
