"preset","tenkan","kijun","senkou","tf","window","pf","net","trades","eqdd"
"fast","6","17","34","H1","MAIN","0.96","-221.58","399","564.79(5.60%)"
"fast","6","17","34","H1","BWD","1.19","818.17","352","620.17(6.14%)"
"fast","6","17","34","H4","MAIN","1.12","349.16","109","887.74(8.02%)"
"fast","6","17","34","H4","BWD","1.43","833.79","78","492.72(4.72%)"
"def","9","26","52","H1","MAIN","1.11","399.87","273","589.46(5.89%)"
"def","9","26","52","H1","BWD","1.28","799.62","239","640.61(6.11%)"
"def","9","26","52","H4","MAIN","1.79","1445.65","79","432.63(3.74%)"
"def","9","26","52","H4","BWD","1.16","318.07","71","526.59(4.90%)"
"med","12","34","68","H1","MAIN","1.19","651.64","221","639.94(6.36%)"
"med","12","34","68","H1","BWD","1.31","634.34","178","775.29(7.48%)"
"med","12","34","68","H4","MAIN","1.48","764.41","67","513.13(5.09%)"
"med","12","34","68","H4","BWD","1.39","567.87","60","479.44(4.68%)"
"slow","20","60","120","H1","MAIN","1.31","501.11","126","428.19(3.92%)"
"slow","20","60","120","H1","BWD","1.22","250.77","104","549.05(5.26%)"
"slow","20","60","120","H4","MAIN","1.45","316.25","31","357.01(3.45%)"
"slow","20","60","120","H4","BWD","0.64","-444.59","36","605.33(5.96%)"
