"sym","cfg","window","pf","net","trades","eqdd"
"GBPJPY","medH4","MAIN","1.04","110.23","69","799.41(7.39%)"
"GBPJPY","medH4","BWD","0.68","-656.44","47","846.61(8.43%)"
"GBPJPY","slowH1","MAIN","0.97","-74.20","136","547.62(5.23%)"
"GBPJPY","slowH1","BWD","0.67","-749.10","114","958.59(9.41%)"
"EURJPY","medH4","MAIN","0.40","-1145.83","57","1390.14(13.67%)"
"EURJPY","medH4","BWD","1.23","369.82","50","603.20(5.97%)"
"EURJPY","slowH1","MAIN","0.92","-143.31","123","523.45(5.19%)"
"EURJPY","slowH1","BWD","0.69","-555.40","108","807.31(8.05%)"
"CADJPY","medH4","MAIN","1.16","173.67","58","403.66(3.85%)"
"CADJPY","medH4","BWD","1.15","160.93","51","363.24(3.46%)"
"CADJPY","slowH1","MAIN","0.96","-53.77","134","311.78(3.06%)"
"CADJPY","slowH1","BWD","1.25","366.33","113","320.52(3.17%)"
"AUDJPY","medH4","MAIN","0.78","-354.44","59","874.42(8.35%)"
"AUDJPY","medH4","BWD","1.31","488.92","60","415.48(3.94%)"
"AUDJPY","slowH1","MAIN","0.74","-449.26","133","807.94(7.96%)"
"AUDJPY","slowH1","BWD","0.65","-450.96","95","626.48(6.20%)"
"GBPUSD","medH4","MAIN","0.79","-392.78","61","912.16(9.06%)"
"GBPUSD","medH4","BWD","1.92","1550.28","53","1081.60(9.27%)"
"GBPUSD","slowH1","MAIN","0.46","-1245.06","141","1378.44(13.78%)"
"GBPUSD","slowH1","BWD","0.88","-292.08","129","795.00(7.93%)"
"XAUUSD","medH4","MAIN","3.94","13333.09","47","2408.49(11.60%)"
"XAUUSD","medH4","BWD","1.25","788.16","50","1933.06(16.53%)"
"XAUUSD","slowH1","MAIN","1.66","5478.89","126","1877.86(11.62%)"
"XAUUSD","slowH1","BWD","1.39","1559.14","110","860.72(7.37%)"
