"cand","year","pf","net","trades","eqdd"
"medH4","2020","1.01","4.74","11","599.53(5.96%)"
"medH4","2021","1.64","619.93","20","1220.90(10.72%)"
"medH4","2022","0.99","-11.61","19","1108.20(11.00%)"
"medH4","2023","2.62","921.50","8","646.59(5.74%)"
"medH4","2024","1.09","170.91","19","1614.68(15.53%)"
"medH4","2025","3.29","2982.06","13","1290.88(11.09%)"
"slowH1","2020","2.15","1443.65","34","625.48(5.60%)"
"slowH1","2021","0.84","-226.16","39","693.52(6.89%)"
"slowH1","2022","1.25","341.65","37","640.70(5.83%)"
"slowH1","2023","1.36","533.46","40","971.41(9.63%)"
"slowH1","2024","1.10","241.52","41","1144.28(10.75%)"
"slowH1","2025","2.25","3264.62","32","1531.66(15.13%)"
