"cand","tf","year","pf","net","trades","eqdd"
"medH4","H4","2020","0.57","-222.77","21","456.62(4.46%)"
"medH4","H4","2021","2.46","474.22","19","211.19(2.02%)"
"medH4","H4","2022","1.51","312.02","20","340.96(3.21%)"
"medH4","H4","2023","0.60","-301.48","26","485.66(4.81%)"
"medH4","H4","2024","6.70","683.86","10","276.65(2.57%)"
"medH4","H4","2025","1.96","495.90","24","405.52(3.83%)"
"slowH1","H1","2020","1.13","56.12","36","399.32(3.83%)"
"slowH1","H1","2021","0.53","-168.13","39","214.84(2.14%)"
"slowH1","H1","2022","2.04","362.78","29","221.14(2.15%)"
"slowH1","H1","2023","1.80","349.08","39","236.50(2.32%)"
"slowH1","H1","2024","2.21","518.83","35","307.06(2.99%)"
"slowH1","H1","2025","0.67","-167.55","35","270.83(2.69%)"
