"preset","ema","mult","tf","window","pf","net","trades","eqdd"
"tight","10","1.5","H1","MAIN","1.10","718.00","533","639.16(5.74%)"
"tight","10","1.5","H1","BWD","1.05","296.87","475","1248.53(11.97%)"
"tight","10","1.5","H4","MAIN","0.76","-1026.25","134","1602.21(15.23%)"
"tight","10","1.5","H4","BWD","1.22","720.67","126","1306.88(11.98%)"
"def","20","2.0","H1","MAIN","1.05","362.27","524","871.69(8.52%)"
"def","20","2.0","H1","BWD","1.10","553.84","450","875.05(8.28%)"
"def","20","2.0","H4","MAIN","0.71","-1297.74","143","1578.20(15.39%)"
"def","20","2.0","H4","BWD","1.48","1439.44","119","851.03(7.73%)"
"mid","34","2.5","H1","MAIN","1.00","32.92","522","759.35(7.13%)"
"mid","34","2.5","H1","BWD","1.08","473.98","454","826.48(7.58%)"
"mid","34","2.5","H4","MAIN","0.72","-1221.15","143","1419.42(13.96%)"
"mid","34","2.5","H4","BWD","1.48","1405.07","114","906.81(8.31%)"
"wide","50","3.0","H1","MAIN","1.02","158.79","514","700.86(6.87%)"
"wide","50","3.0","H1","BWD","1.14","810.11","456","624.44(5.85%)"
"wide","50","3.0","H4","MAIN","0.74","-1095.15","141","1569.35(15.07%)"
"wide","50","3.0","H4","BWD","1.33","981.49","109","918.55(8.50%)"
