symbol,tf,window,pf,trades,eqDD_pct
USDJPY,H4,MAIN,0.97,310,1.32
USDJPY,H4,BWD,1.14,221,1.25
GBPUSD,H4,MAIN,1.08,249,0.82
GBPUSD,H4,BWD,1.05,246,0.84
EURJPY,H4,MAIN,1.05,266,1.09
EURJPY,H4,BWD,0.89,243,2.00
AUDUSD,H4,MAIN,0.94,309,0.79
AUDUSD,H4,BWD,0.62,274,2.25
XAGUSD,H4,MAIN,0.67,266,17.01
XAGUSD,H4,BWD,0.77,239,8.47
US30,H4,MAIN,0.72,290,1.30
US30,H4,BWD,1.26,284,0.52
XAUUSD,H1,MAIN,0.82,1142,13.84
XAUUSD,H1,BWD,1.13,780,1.80
XAUUSD,H2,MAIN,1.04,582,7.61
XAUUSD,H2,BWD,1.14,471,2.37
XAUUSD,D1,MAIN,0.64,84,8.43
XAUUSD,D1,BWD,1.38,37,2.30
