time,profit
2023.01.12 14:20:12,-2.25
2023.01.12 16:14:02,6.58
2023.01.13 10:10:37,-6.18
2023.01.13 16:50:19,-6.91
2023.01.13 20:16:15,-2.61
2023.01.16 03:58:26,-4.49
2023.01.16 04:33:02,-2.0
2023.01.18 07:36:04,22.3
2023.01.18 10:14:11,-14.39
2023.01.18 14:11:14,-2.52
2023.01.31 10:11:44,-14.06
2023.02.07 17:59:24,-6.46
2023.02.07 20:32:56,11.06
2023.02.08 09:59:56,-12.57
2023.02.08 12:17:36,4.11
2023.02.09 15:52:58,-10.2
2023.02.15 09:00:15,-12.65
2023.02.16 15:47:38,-5.27
2023.02.16 18:47:18,9.79
2023.02.22 20:46:36,-3.9
2023.02.23 08:32:17,6.33
2023.02.23 15:30:26,-4.34
2023.02.24 14:10:05,-9.25
2023.02.24 16:32:21,-5.51
2023.03.10 10:01:41,-7.88
2023.03.10 15:30:05,-6.9
2023.03.10 16:12:38,-3.58
2023.03.15 12:40:42,8.09
2023.04.04 17:15:00,88.83
2023.04.11 16:11:36,8.68
2023.04.12 04:24:31,-2.6
2023.04.12 09:27:19,4.22
2023.04.12 15:32:48,-13.62
2023.04.12 16:43:42,14.65
2023.04.13 15:20:10,-22.09
2023.04.24 12:29:21,-1.83
2023.04.24 16:51:58,9.36
2023.04.24 20:08:23,-2.56
2023.04.25 01:05:00,-3.31
2023.04.25 13:16:39,11.01
2023.04.25 21:10:46,-8.95
2023.04.26 16:23:15,-9.16
2023.05.09 20:11:59,-7.33
2023.05.10 15:30:53,-4.95
2023.05.10 16:10:01,7.41
2023.05.17 12:01:22,43.46
2023.05.23 19:51:01,14.58
2023.05.25 15:34:10,-20.7
2023.05.30 06:53:50,-3.14
2023.05.30 08:13:10,-2.58
2023.05.31 17:42:04,28.79
2023.06.13 18:23:14,-10.04
2023.06.13 21:32:17,-4.35
2023.06.27 04:52:16,6.59
2023.06.27 14:28:20,-9.07
2023.06.27 17:01:00,-8.01
2023.06.28 09:42:59,-5.23
2023.06.28 13:05:35,-3.26
2023.06.28 16:11:22,-2.99
2023.06.29 15:33:07,-10.69
2023.07.06 14:00:59,7.63
2023.07.07 14:30:39,11.06
2023.07.11 09:40:39,19.6
2023.07.18 09:55:45,-2.2
2023.07.18 14:16:34,-4.02
2023.07.18 17:00:46,-3.46
2023.07.20 04:57:38,-7.81
2023.08.01 15:43:52,16.75
2023.08.14 03:39:51,36.2
2023.08.28 18:37:49,26.88
2023.09.12 13:35:41,10.54
2023.09.15 16:25:11,-15.41
2023.09.21 11:51:51,-5.07
2023.09.21 14:19:45,-1.5
