time,profit
2020.02.17 10:15:44,-6.8
2020.02.21 04:23:03,23.32
2020.02.21 04:23:20,46.66
2020.04.06 22:03:58,92.7
2020.04.06 22:04:24,185.2
2020.04.14 07:48:14,-24.96
2020.04.14 08:13:12,-12.31
2020.05.15 21:42:19,-16.76
2020.05.15 21:42:59,-8.31
2020.06.22 05:57:08,-15.78
2020.06.22 05:57:32,-7.9
2020.07.07 11:30:56,-9.12
2020.07.23 11:01:22,35.3
2020.07.23 11:01:22,70.52
2020.08.11 08:40:08,-22.36
2020.08.11 08:41:56,-11.18
2020.09.01 17:00:33,-19.82
2020.09.30 07:19:10,-17.34
2020.09.30 09:08:00,-8.43
2020.10.13 16:36:18,-16.0
2020.10.13 16:36:20,-7.95
2020.12.21 12:06:47,-19.72
2020.12.21 12:06:47,-9.68
2021.01.06 17:43:12,-18.22
2021.01.06 17:43:12,-9.01
2021.05.19 11:46:58,-14.5
2021.05.19 11:46:58,-7.16
2021.05.26 20:44:56,-14.7
2021.05.26 20:45:04,-7.58
2021.12.23 16:34:36,-9.62
2021.12.23 16:35:24,-4.79
2022.01.03 07:25:24,-9.94
2022.01.03 09:02:26,-5.0
2022.01.13 17:53:52,-11.64
2022.01.13 17:53:52,-5.59
2022.02.24 12:12:01,72.52
2022.03.07 08:07:35,-22.56
2022.04.11 05:33:02,-14.3
2022.04.11 05:33:03,-7.19
2022.05.05 17:47:23,-21.26
2022.05.05 17:47:23,-10.55
2022.06.13 04:51:33,-28.58
2022.06.13 05:01:28,-13.51
2022.11.14 07:52:59,-19.48
2022.11.14 07:53:19,-9.71
2022.12.13 16:27:54,100.9
2022.12.13 16:27:54,50.59
