symbol,arm,window,pf,trades,net,eqDD_pct
US30,market,REC,1.46,34,14.88,0.16
US30,market,BWD,1.40,26,10.64,0.19
US30,split,REC,1.54,55,44.01,0.33
US30,split,BWD,1.38,44,26.65,0.37
NAS100,market,REC,0.00,0,0,0
NAS100,market,BWD,0.00,0,0,0
NAS100,split,REC,0.00,0,0,0
NAS100,split,BWD,0.00,0,0,0
XAGUSD,market,REC,1.01,149,20.91,5.18
XAGUSD,market,BWD,0.56,96,-420.30,4.28
XAGUSD,split,REC,0.82,262,-1210.07,17.16
XAGUSD,split,BWD,0.61,175,-1006.89,10.85
GBPUSD,market,REC,0.81,79,-35.47,0.46
GBPUSD,market,BWD,0.74,46,-30.41,0.39
GBPUSD,split,REC,0.91,145,-45.03,1.17
GBPUSD,split,BWD,0.73,84,-88.37,1.42
