"Set","Window","PF","Trades","Net","EqDD","Leverage"
"O217_SR3_OFF","MAIN","1.82","280.0","1506.02","3.07","1:100"
"O217_SR3_OFF","BWD","0.98","243.0","-25.8","3.66","1:100"
"O217_SR3_ON_CWB1","MAIN","2.98","34.0","787.25","1.37","1:100"
"O217_SR3_ON_CWB1","BWD","0.81","21.0","-46.97","1.51","1:100"
"O217_SR3_ON_CWB2","MAIN","2.83","37.0","769.94","1.32","1:100"
"O217_SR3_ON_CWB2","BWD","0.68","24.0","-92.22","1.65","1:100"
"O217_SR3_ON_CWB3","MAIN","2.73","40.0","754.26","1.38","1:100"
"O217_SR3_ON_CWB3","BWD","0.64","27.0","-121.44","1.81","1:100"
"O217_SR3_ON_CWB5","MAIN","2.48","50.0","813.51","1.38","1:100"
"O217_SR3_ON_CWB5","BWD","0.51","42.0","-240.97","2.86","1:100"
