label,stackconfirm,minbodyratio,window,PF,trades,DD_equity_pct,DD_balance_pct,net,short_trades,long_trades,report_path
SC0_BR1p00,0,1.0,MAIN,1.82,184,7.12,5.42,2353.69,0,184,D:\EA_LAB\_mt5_auto\reports\O236S2_SC0_BR1p00_MAIN.htm
SC0_BR1p00,0,1.0,BWD,1.06,498,16.68,15.58,599.32,0,498,D:\EA_LAB\_mt5_auto\reports\O236S2_SC0_BR1p00_BWD.htm
SC1_BR1p00,1,1.0,MAIN,1.47,84,4.87,3.49,988.84,0,84,D:\EA_LAB\_mt5_auto\reports\O236S2_SC1_BR1p00_MAIN.htm
SC1_BR1p00,1,1.0,BWD,1.16,106,7.07,6.67,442.22,0,106,D:\EA_LAB\_mt5_auto\reports\O236S2_SC1_BR1p00_BWD.htm
SC4_BR1p00,4,1.0,MAIN,1.8,117,6.18,5.25,1843.87,0,117,D:\EA_LAB\_mt5_auto\reports\O236S2_SC4_BR1p00_MAIN.htm
SC4_BR1p00,4,1.0,BWD,0.9,170,12.54,11.81,-515.64,0,170,D:\EA_LAB\_mt5_auto\reports\O236S2_SC4_BR1p00_BWD.htm
SC0_BR1p50,0,1.5,MAIN,1.82,184,7.12,5.42,2353.69,0,184,D:\EA_LAB\_mt5_auto\reports\O236S2_SC0_BR1p50_MAIN.htm
SC0_BR1p50,0,1.5,BWD,1.06,498,16.68,15.58,599.32,0,498,D:\EA_LAB\_mt5_auto\reports\O236S2_SC0_BR1p50_BWD.htm
SC1_BR1p50,1,1.5,MAIN,1.47,84,4.87,3.49,988.84,0,84,D:\EA_LAB\_mt5_auto\reports\O236S2_SC1_BR1p50_MAIN.htm
SC1_BR1p50,1,1.5,BWD,1.16,106,7.07,6.67,442.22,0,106,D:\EA_LAB\_mt5_auto\reports\O236S2_SC1_BR1p50_BWD.htm
SC4_BR1p50,4,1.5,MAIN,1.37,112,6.17,5.25,1097.18,0,112,D:\EA_LAB\_mt5_auto\reports\O236S2_SC4_BR1p50_MAIN.htm
SC4_BR1p50,4,1.5,BWD,1.1,150,7.39,6.49,375.73,0,150,D:\EA_LAB\_mt5_auto\reports\O236S2_SC4_BR1p50_BWD.htm
