symbol,variant,param_changed,value,pf,trades,eqdd_pct,net_profit,report
USDJPY,V1,_9_StepATRmult,1.12,0.88,209.0,11.36,-434.7,SENS_USDJPY_V1.htm
USDJPY,V2,_9_StepATRmult,1.68,1.4,118.0,5.56,627.19,SENS_USDJPY_V2.htm
USDJPY,V3,_14_DistAtrMult,2.4,2.04,157.0,3.47,1438.15,SENS_USDJPY_V3.htm
USDJPY,V4,_14_DistAtrMult,3.6,1.28,170.0,6.53,604.81,SENS_USDJPY_V4.htm
USDJPY,V5,_2_BasketTP_Money,80,0.97,234.0,7.34,-77.76,SENS_USDJPY_V5.htm
USDJPY,V6,_2_BasketTP_Money,120,1.14,238.0,11.58,484.58,SENS_USDJPY_V6.htm
USDJPY,V7,_33_SL_ATRmult,3,1.09,169.0,7.4,241.3,SENS_USDJPY_V7.htm
USDJPY,V8,_33_SL_ATRmult,5,2.04,207.0,8.49,1800.32,SENS_USDJPY_V8.htm
AUDNZD,V1,_9_StepATRmult,1.12,1.66,205.0,4.14,1441.66,SENS_AUDNZD_V1.htm
AUDNZD,V2,_9_StepATRmult,1.68,1.71,163.0,3.67,1277.6,SENS_AUDNZD_V2.htm
AUDNZD,V3,_14_DistAtrMult,1.12,1.59,195.0,4.25,1265.37,SENS_AUDNZD_V3.htm
AUDNZD,V4,_14_DistAtrMult,1.68,1.52,164.0,4.98,1017.82,SENS_AUDNZD_V4.htm
AUDNZD,V5,_2_BasketTP_Money,140,1.4,179.0,4.76,782.97,SENS_AUDNZD_V5.htm
AUDNZD,V6,_2_BasketTP_Money,210,1.37,155.0,7.21,849.15,SENS_AUDNZD_V6.htm
AUDNZD,V7,_33_SL_ATRmult,3,1.97,69.0,3.42,688.06,SENS_AUDNZD_V7.htm
AUDNZD,V8,_33_SL_ATRmult,5,1.5,279.0,4.81,1584.72,SENS_AUDNZD_V8.htm
EURJPY,V1,_9_StepATRmult,1.76,1.17,253.0,16.35,1051.28,SENS_EURJPY_V1.htm
EURJPY,V2,_9_StepATRmult,2.64,4.41,43.0,3.5,1805.75,SENS_EURJPY_V2.htm
EURJPY,V3,_14_DistAtrMult,1.12,1.36,132.0,9.96,1251.28,SENS_EURJPY_V3.htm
EURJPY,V4,_14_DistAtrMult,1.68,1.2,145.0,12.14,775.59,SENS_EURJPY_V4.htm
EURJPY,V5,_2_BasketTP_Money,200,0.93,234.0,20.68,-506.96,SENS_EURJPY_V5.htm
EURJPY,V6,_2_BasketTP_Money,300,1.36,101.0,15.79,1156.28,SENS_EURJPY_V6.htm
EURJPY,V7,_33_SL_ATRmult,3,1.7,68.0,5.63,1166.13,SENS_EURJPY_V7.htm
EURJPY,V8,_33_SL_ATRmult,5,1.28,177.0,14.7,1359.65,SENS_EURJPY_V8.htm
AUDCAD,V1,_9_StepATRmult,1.12,1.83,113.0,5.58,1134.43,SENS_AUDCAD_V1.htm
AUDCAD,V2,_9_StepATRmult,1.68,1.53,97.0,6.14,749.34,SENS_AUDCAD_V2.htm
AUDCAD,V3,_14_DistAtrMult,1.12,1.11,150.0,8.77,288.5,SENS_AUDCAD_V3.htm
AUDCAD,V4,_14_DistAtrMult,1.68,1.57,120.0,6.44,933.22,SENS_AUDCAD_V4.htm
AUDCAD,V5,_2_BasketTP_Money,200,1.22,175.0,6.77,558.03,SENS_AUDCAD_V5.htm
AUDCAD,V6,_2_BasketTP_Money,300,1.57,104.0,7.35,873.54,SENS_AUDCAD_V6.htm
AUDCAD,V7,_33_SL_ATRmult,3,2.13,26.0,2.17,413.14,SENS_AUDCAD_V7.htm
AUDCAD,V8,_33_SL_ATRmult,5,1.29,140.0,10.34,694.83,SENS_AUDCAD_V8.htm
CADJPY,V1,_9_StepATRmult,2.4,0.83,100.0,10.57,-500.05,SENS_CADJPY_V1.htm
CADJPY,V2,_9_StepATRmult,3.6,1.3,62.0,5.59,393.33,SENS_CADJPY_V2.htm
CADJPY,V3,_14_DistAtrMult,1.76,1.04,78.0,6.01,80.09,SENS_CADJPY_V3.htm
CADJPY,V4,_14_DistAtrMult,2.64,1.3,75.0,4.7,441.63,SENS_CADJPY_V4.htm
CADJPY,V5,_2_BasketTP_Money,140,1.18,98.0,7.94,322.27,SENS_CADJPY_V5.htm
CADJPY,V6,_2_BasketTP_Money,210,1.54,67.0,4.71,664.84,SENS_CADJPY_V6.htm
CADJPY,V7,_33_SL_ATRmult,3,1.21,48.0,6.27,227.52,SENS_CADJPY_V7.htm
CADJPY,V8,_33_SL_ATRmult,5,1.33,79.0,6.39,583.6,SENS_CADJPY_V8.htm
EURUSD,V1,_9_StepATRmult,1.12,1.02,118.0,7.24,29.66,SENS_EURUSD_V1.htm
EURUSD,V2,_9_StepATRmult,1.68,1.42,81.0,4.67,434.25,SENS_EURUSD_V2.htm
EURUSD,V3,_14_DistAtrMult,2.4,1.01,256.0,12.78,50.57,SENS_EURUSD_V3.htm
EURUSD,V4,_14_DistAtrMult,3.6,2.24,46.0,2.78,426.74,SENS_EURUSD_V4.htm
EURUSD,V5,_2_BasketTP_Money,80,2.16,82.0,3.5,627.61,SENS_EURUSD_V5.htm
EURUSD,V6,_2_BasketTP_Money,120,1.05,200.0,11.75,140.26,SENS_EURUSD_V6.htm
EURUSD,V7,_33_SL_ATRmult,3,2.46,32.0,1.61,343.22,SENS_EURUSD_V7.htm
EURUSD,V8,_33_SL_ATRmult,5,1.65,81.0,6.5,626.89,SENS_EURUSD_V8.htm
