set,window,PF,Trades
SMC_ra0_sl2p4,MAIN,1.05,138
SMC_ra0_sl2p4,BWD,1.03,133
SMC_ra0_sl3,MAIN,1.50,136
SMC_ra0_sl3,BWD,1.24,130
SMC_ra0_sl3p6,MAIN,1.49,136
SMC_ra0_sl3p6,BWD,1.09,129
SMC_ra10_sl2p4,MAIN,1.01,138
SMC_ra10_sl2p4,BWD,1.18,132
SMC_ra10_sl3,MAIN,1.42,136
SMC_ra10_sl3,BWD,1.23,130
SMC_ra10_sl3p6,MAIN,1.40,136
SMC_ra10_sl3p6,BWD,1.17,129
SMC_ra15_sl2p4,MAIN,1.13,137
SMC_ra15_sl2p4,BWD,1.11,132
SMC_ra15_sl3,MAIN,1.43,136
SMC_ra15_sl3,BWD,1.19,130
SMC_ra15_sl3p6,MAIN,1.46,136
SMC_ra15_sl3p6,BWD,1.02,129
SMC_ra5_sl2p4,MAIN,1.03,138
SMC_ra5_sl2p4,BWD,1.07,132
SMC_ra5_sl3,MAIN,1.47,136
SMC_ra5_sl3,BWD,1.23,130
SMC_ra5_sl3p6,MAIN,1.48,136
SMC_ra5_sl3p6,BWD,1.08,129
