sym,tf,win,model,PF,net,eqDDpct,trades,winpct,report
EURGBP,H1,MAIN,M1,0.34,-78.27,0.85,124.0,50.81,ESR_EURGBP_H1_MAIN_M1
EURGBP,H1,BWD,M1,0.48,-69.84,0.84,100.0,61.0,ESR_EURGBP_H1_BWD_M1
EURGBP,H4,MAIN,M1,0.93,-0.75,0.13,15.0,53.33,ESR_EURGBP_H4_MAIN_M1
EURGBP,H4,BWD,M1,0.94,-1.22,0.26,15.0,60.0,ESR_EURGBP_H4_BWD_M1
AUDNZD,H1,MAIN,M1,0.45,-34.46,0.41,105.0,62.86,ESR_AUDNZD_H1_MAIN_M1
AUDNZD,H1,BWD,M1,0.76,-15.66,0.19,105.0,72.38,ESR_AUDNZD_H1_BWD_M1
AUDNZD,H4,MAIN,M1,1.3,3.34,0.08,17.0,76.47,ESR_AUDNZD_H4_MAIN_M1
AUDNZD,H4,BWD,M1,0.61,-5.74,0.14,16.0,68.75,ESR_AUDNZD_H4_BWD_M1
EURCHF,H1,MAIN,M1,1.13,9.47,0.21,114.0,72.81,ESR_EURCHF_H1_MAIN_M1
EURCHF,H1,BWD,M1,0.81,-16.37,0.29,108.0,70.37,ESR_EURCHF_H1_BWD_M1
EURCHF,H4,MAIN,M1,0.39,-43.54,0.59,23.0,56.52,ESR_EURCHF_H4_MAIN_M1
EURCHF,H4,BWD,M1,1.26,2.19,0.13,13.0,76.92,ESR_EURCHF_H4_BWD_M1
USDCHF,H1,MAIN,M1,0.67,-38.14,0.56,129.0,72.09,ESR_USDCHF_H1_MAIN_M1
USDCHF,H1,BWD,M1,0.61,-54.67,0.64,129.0,68.22,ESR_USDCHF_H1_BWD_M1
USDCHF,H4,MAIN,M1,0.48,-30.38,0.31,24.0,54.17,ESR_USDCHF_H4_MAIN_M1
USDCHF,H4,BWD,M1,0.66,-8.3,0.27,10.0,70.0,ESR_USDCHF_H4_BWD_M1
