sym,tf,win,model,PF,net,eqDDpct,trades,winpct,report
XAGUSD,H1,MAIN,M1,0.93,-211.29,11.07,496.0,26.01,S1X_XAGUSD_H1_MAIN_M1
XAGUSD,H1,BWD,M1,0.78,-575.7,7.04,470.0,27.87,S1X_XAGUSD_H1_BWD_M1
XAGUSD,H4,MAIN,M1,1.62,768.17,2.94,111.0,38.74,S1X_XAGUSD_H4_MAIN_M1
XAGUSD,H4,BWD,M1,1.04,46.3,5.19,138.0,37.68,S1X_XAGUSD_H4_BWD_M1
GBPJPY,H4,MAIN,M1,1.09,35.51,1.27,128.0,33.59,S1X_GBPJPY_H4_MAIN_M1
GBPJPY,H4,BWD,M1,0.8,-91.46,1.92,116.0,30.17,S1X_GBPJPY_H4_BWD_M1
USDJPY,H4,MAIN,M1,1.38,113.57,0.59,129.0,40.31,S1X_USDJPY_H4_MAIN_M1
USDJPY,H4,BWD,M1,1.33,73.38,0.8,97.0,31.96,S1X_USDJPY_H4_BWD_M1
EURJPY,H4,MAIN,M1,1.41,117.88,0.56,126.0,42.06,S1X_EURJPY_H4_MAIN_M1
EURJPY,H4,BWD,M1,1.04,12.32,0.92,125.0,32.0,S1X_EURJPY_H4_BWD_M1
XAGUSD,H4,MAIN,M4,1.62,761.62,2.95,111.0,38.74,S1X_XAGUSD_H4_MAIN_M4
XAGUSD,H4,BWD,M4,1.03,37.05,5.24,138.0,37.68,S1X_XAGUSD_H4_BWD_M4
USDJPY,H4,MAIN,M4,1.34,103.88,0.59,129.0,39.53,S1X_USDJPY_H4_MAIN_M4
USDJPY,H4,BWD,M4,1.31,70.55,0.8,97.0,30.93,S1X_USDJPY_H4_BWD_M4
EURJPY,H4,MAIN,M4,1.32,95.62,0.56,127.0,40.16,S1X_EURJPY_H4_MAIN_M4
EURJPY,H4,BWD,M4,1.02,6.6,0.93,125.0,32.0,S1X_EURJPY_H4_BWD_M4
