sym,tf,win,model,PF,net,eqDDpct,trades,winpct,report
GBPUSD,D1,MAIN,M1,1.86,97.19,0.73,21.0,42.86,MDX_GBPUSD_D1_MAIN_M1
GBPUSD,H4,MAIN,M1,1.18,77.8,0.64,221.0,32.13,MDX_GBPUSD_H4_MAIN_M1
EURUSD,D1,MAIN,M1,0.64,-82.51,1.1,39.0,25.64,MDX_EURUSD_D1_MAIN_M1
EURUSD,H4,MAIN,M1,0.93,-30.75,0.96,264.0,31.44,MDX_EURUSD_H4_MAIN_M1
USDJPY,D1,MAIN,M1,1.47,76.83,1.23,39.0,41.03,MDX_USDJPY_D1_MAIN_M1
USDJPY,H4,MAIN,M1,1.1,47.54,0.85,250.0,34.0,MDX_USDJPY_H4_MAIN_M1
AUDUSD,D1,MAIN,M1,0.91,-13.48,0.48,36.0,36.11,MDX_AUDUSD_D1_MAIN_M1
AUDUSD,H4,MAIN,M1,0.97,-14.0,0.77,278.0,31.65,MDX_AUDUSD_H4_MAIN_M1
XAGUSD,D1,MAIN,M1,0.64,-275.89,6.48,31.0,29.03,MDX_XAGUSD_D1_MAIN_M1
XAGUSD,H4,MAIN,M1,0.87,-305.9,5.0,226.0,31.42,MDX_XAGUSD_H4_MAIN_M1
GBPJPY,D1,MAIN,M1,0.72,-100.51,1.99,48.0,18.75,MDX_GBPJPY_D1_MAIN_M1
GBPJPY,H4,MAIN,M1,0.79,-156.83,1.81,269.0,23.79,MDX_GBPJPY_H4_MAIN_M1
GBPUSD,D1,BWD,M1,1.23,57.33,1.2,43.0,27.91,MDX_GBPUSD_D1_BWD_M1
GBPUSD,H4,BWD,M1,1.05,35.34,0.84,246.0,33.33,MDX_GBPUSD_H4_BWD_M1
USDJPY,D1,BWD,M1,1.3,49.01,0.74,45.0,31.11,MDX_USDJPY_D1_BWD_M1
USDJPY,H4,BWD,M1,1.14,57.83,1.25,221.0,32.58,MDX_USDJPY_H4_BWD_M1
GBPUSD,D1,MAIN,M4,1.86,98.08,0.73,21.0,42.86,MDX_GBPUSD_D1_MAIN_M4
GBPUSD,D1,BWD,M4,1.24,59.3,1.2,43.0,27.91,MDX_GBPUSD_D1_BWD_M4
GBPUSD,H4,MAIN,M4,1.15,66.67,0.63,221.0,31.67,MDX_GBPUSD_H4_MAIN_M4
GBPUSD,H4,BWD,M4,1.02,14.64,1.0,247.0,32.39,MDX_GBPUSD_H4_BWD_M4
USDJPY,D1,MAIN,M4,1.3,51.55,1.36,39.0,38.46,MDX_USDJPY_D1_MAIN_M4
USDJPY,D1,BWD,M4,1.11,19.18,1.04,46.0,28.26,MDX_USDJPY_D1_BWD_M4
USDJPY,H4,MAIN,M4,1.07,33.53,0.97,253.0,33.2,MDX_USDJPY_H4_MAIN_M4
USDJPY,H4,BWD,M4,1.11,47.42,1.29,221.0,31.67,MDX_USDJPY_H4_BWD_M4
