symbol,arm,stackmode,pf,trades,net,eqdd_pct,leverage,status
NZDJPY,A,90,1.86,31,481.72,2.77,100,OK
NZDJPY,B,92,0.84,219,-802.08,19.07,100,OK
CADCHF,A,90,0.16,23,-589.64,7,100,OK
CADCHF,B,92,0.53,79,-860.07,13.3,100,OK
GBPCAD,A,90,1.05,73,110.12,5.72,100,OK
GBPCAD,B,92,1.12,465,1 000.04,11.51,100,OK
EURAUD,A,90,0.83,92,-513.36,10.3,100,OK
EURAUD,B,92,0.95,415,-387.98,15,100,OK
AUDCHF,A,90,3.39,3,37.40,1.44,100,OK
AUDCHF,B,92,0.75,26,-127.62,4.46,100,OK
NZDCAD,A,90,0.40,35,-600.62,8.89,100,OK
NZDCAD,B,92,0.71,176,-996.32,15.63,100,OK
CHFJPY,A,90,1.30,97,816.60,10.48,100,OK
CHFJPY,B,92,1.33,418,2 469.45,17.12,100,OK
GBPCHF,A,90,1.79,25,334.20,2.39,100,OK
GBPCHF,B,92,1.00,149,3.49,9.09,100,OK
EURNZD,A,90,1.09,65,175.70,9.57,100,OK
EURNZD,B,92,0.94,404,-566.06,17.63,100,OK
AUDUSD,A,90,0.66,42,-421.26,8.48,100,OK
AUDUSD,B,92,1.01,192,30.56,7.76,100,OK
USDCAD,A,90,0.74,59,-450.76,8.44,100,OK
USDCAD,B,92,1.25,242,846.24,8.03,100,OK
GBPNZD,A,90,1.10,110,301.35,8.65,100,OK
GBPNZD,B,92,1.13,409,1 000.08,14.02,100,OK
