"sym","tf","window","pf","net","trades","eqdd"
"XAUUSD","H4","MAIN","1.06","2139.24","353","6089.65(59.67%)"
"XAUUSD","H4","BWD","0.88","-2162.35","295","3745.09(33.97%)"
"XAUUSD","H1","MAIN","1.10","6755.78","1358","4505.38(44.81%)"
"XAUUSD","H1","BWD","0.91","-2844.50","1184","3952.63(37.89%)"
"GBPJPY","H4","MAIN","0.73","-2336.51","324","2794.05(26.77%)"
"GBPJPY","H4","BWD","0.89","-872.63","284","1497.40(14.72%)"
"GBPJPY","H1","MAIN","0.76","-3948.60","1286","4160.83(41.31%)"
"GBPJPY","H1","BWD","0.77","-3838.41","1141","4260.75(41.18%)"
"USDJPY","H4","MAIN","0.98","-126.65","310","1740.68(17.07%)"
"USDJPY","H4","BWD","0.86","-678.81","266","1283.19(12.64%)"
"USDJPY","H1","MAIN","0.80","-2530.94","1297","2730.84(26.84%)"
"USDJPY","H1","BWD","0.81","-1917.53","1184","2662.25(26.58%)"
"GBPUSD","H4","MAIN","0.93","-474.54","346","1895.32(17.94%)"
"GBPUSD","H4","BWD","0.95","-397.38","310","1464.68(13.27%)"
"GBPUSD","H1","MAIN","0.83","-2357.62","1442","2965.48(28.10%)"
"GBPUSD","H1","BWD","0.77","-3688.74","1220","3906.00(38.45%)"
