"preset","rr","wpr","window","pf","net","trades","eqdd"
"fast","1.5","15","MAIN","1.16","9622.57","538","10417.16(92.93%)"
"fast","1.5","15","BWD","0.92","-2362.07","449","4715.15(40.04%)"
"fast","1.5","30","MAIN","1.21","9695.40","443","5792.78(53.94%)"
"fast","1.5","30","BWD","1.06","1356.92","384","2374.15(20.32%)"
"fast","2.5","15","MAIN","1.03","1760.08","392","10285.20(82.91%)"
"fast","2.5","15","BWD","0.95","-1247.46","331","7154.21(46.75%)"
"fast","2.5","30","MAIN","1.07","3083.88","339","8242.34(38.65%)"
"fast","2.5","30","BWD","1.10","2144.35","297","4071.50(29.14%)"
"def","1.5","15","MAIN","1.00","-43.56","438","7840.29(75.97%)"
"def","1.5","15","BWD","0.95","-969.20","348","3415.46(28.83%)"
"def","1.5","30","MAIN","0.97","-828.11","247","4884.87(47.87%)"
"def","1.5","30","BWD","0.82","-2167.55","202","3359.17(31.09%)"
"def","2.5","15","MAIN","1.11","5136.58","369","8272.53(81.08%)"
"def","2.5","15","BWD","1.05","1122.61","301","2643.82(20.16%)"
"def","2.5","30","MAIN","1.23","5881.37","226","4210.44(40.87%)"
"def","2.5","30","BWD","0.96","-568.33","189","2163.69(19.09%)"
"slow","1.5","15","MAIN","1.18","6935.79","412","5308.22(47.70%)"
"slow","1.5","15","BWD","0.89","-2007.59","322","2679.13(25.35%)"
"slow","1.5","30","MAIN","1.17","3621.59","239","3163.59(30.32%)"
"slow","1.5","30","BWD","0.87","-1286.79","197","2375.75(22.02%)"
"slow","2.5","15","MAIN","1.06","2350.75","345","5551.07(48.15%)"
"slow","2.5","15","BWD","0.95","-916.43","277","3698.87(29.52%)"
"slow","2.5","30","MAIN","1.20","4617.60","220","4285.39(30.24%)"
"slow","2.5","30","BWD","0.86","-1606.35","175","3411.94(30.42%)"
