"ea","sym","tf","window","pf","net","trades","eqdd"
"MacdDiv","XAUUSD","H4","MAIN","1.54","1802.71","319","631.05(5.08%)"
"MacdDiv","XAUUSD","H4","BWD","0.97","-44.39","240","402.97(3.98%)"
"MacdDiv","XAGUSD","H4","MAIN","0.67","-1584.12","266","1741.71(17.16%)"
"MacdDiv","XAGUSD","H4","BWD","0.77","-505.95","239","861.39(8.44%)"
"MacdDiv","GBPJPY","H4","MAIN","0.82","-147.92","295","178.85(1.79%)"
"MacdDiv","GBPJPY","H4","BWD","1.00","-1.66","220","162.19(1.60%)"
"MacdDiv","EURJPY","H4","MAIN","0.96","-24.75","270","118.00(1.17%)"
"MacdDiv","EURJPY","H4","BWD","0.87","-71.41","242","205.07(2.04%)"
"MacdDiv","USDJPY","H4","MAIN","0.95","-32.58","313","136.71(1.35%)"
"MacdDiv","USDJPY","H4","BWD","1.11","47.42","221","130.73(1.29%)"
"MacdDiv","US30","H4","MAIN","0.72","-102.18","290","130.38(1.30%)"
"MacdDiv","US30","H4","BWD","1.26","77.95","284","52.45(0.52%)"
