"ea","lever","tf","window","pf","net","trades","eqdd"
"NR7","p4","H1","MAIN","1.15","12671.32","790","11705.59(50.73%)"
"NR7","p4","H1","BWD","0.90","-3771.61","674","8123.54(65.94%)"
"NR7","p4","H4","MAIN","1.64","24144.74","234","9652.69(27.12%)"
"NR7","p4","H4","BWD","0.92","-1738.80","204","7135.52(57.00%)"
"NR7","p7","H1","MAIN","1.28","18375.33","584","9735.99(61.72%)"
"NR7","p7","H1","BWD","0.79","-6923.53","494","9729.84(83.42%)"
"NR7","p7","H4","MAIN","1.36","12314.40","164","13091.86(46.16%)"
"NR7","p7","H4","BWD","0.69","-5932.81","161","9445.97(81.40%)"
"NR7","p10","H1","MAIN","1.33","19277.73","517","9893.88(36.97%)"
"NR7","p10","H1","BWD","0.79","-6765.64","457","8419.71(73.71%)"
"NR7","p10","H4","MAIN","1.28","9600.72","150","13288.93(46.98%)"
"NR7","p10","H4","BWD","0.67","-6374.91","154","9735.55(83.64%)"
"NR7","p14","H1","MAIN","1.28","15714.06","466","10200.79(33.31%)"
"NR7","p14","H1","BWD","0.82","-5188.56","411","6580.48(58.81%)"
"NR7","p14","H4","MAIN","1.43","12083.29","129","9924.28(38.74%)"
"NR7","p14","H4","BWD","0.62","-5540.64","121","7834.92(69.06%)"
"PREVDAY","b0.1","H1","MAIN","1.19","12058.54","906","7402.42(29.99%)"
"PREVDAY","b0.1","H1","BWD","0.93","-2170.68","756","3258.12(29.66%)"
"PREVDAY","b0.1","H4","MAIN","1.07","2720.15","274","10189.84(49.04%)"
"PREVDAY","b0.1","H4","BWD","1.06","869.04","212","3858.92(29.27%)"
"PREVDAY","b0.3","H1","MAIN","1.18","10996.34","843","7128.59(28.98%)"
"PREVDAY","b0.3","H1","BWD","0.97","-734.48","693","2643.75(22.29%)"
"PREVDAY","b0.3","H4","MAIN","1.01","299.28","245","10611.59(56.34%)"
"PREVDAY","b0.3","H4","BWD","0.96","-603.51","192","5037.52(38.71%)"
"PREVDAY","b0.5","H1","MAIN","1.14","8023.11","785","8381.37(36.45%)"
"PREVDAY","b0.5","H1","BWD","1.05","1280.35","628","1825.26(13.98%)"
"PREVDAY","b0.5","H4","MAIN","0.89","-4262.00","221","12391.45(72.16%)"
"PREVDAY","b0.5","H4","BWD","0.99","-144.65","168","4601.25(35.46%)"
