"ea","window","config","net","pf","trades","eqdd"
"XAU","FWD","base","3102.27","1.42","426","3783.30(23.35%)"
"XAU","BWD","base","120.82","1.07","136","898.05(8.30%)"
"XAU","FWD","m1t20","2858.33","1.39","405","3225.60(20.05%)"
"XAU","BWD","m1t20","799.07","1.88","107","817.90(7.30%)"
"XAU","FWD","m1t25","2052.30","1.26","378","3225.60(21.11%)"
"XAU","BWD","m1t25","795.73","1.88","107","817.90(7.30%)"
"XAU","FWD","m1t30","2264.59","1.31","350","3225.60(20.82%)"
"XAU","BWD","m1t30","746.39","1.82","98","817.90(7.33%)"
"XAU","FWD","m1rng25","400.21","2.05","38","538.50(5.29%)"
"XAU","BWD","m1rng25","-165.35","0.60","26","490.39(4.84%)"
"XAU","FWD","m2t20","2540.43","1.35","397","3225.60(20.46%)"
"XAU","BWD","m2t20","751.37","1.83","106","817.90(7.33%)"
"XAU","FWD","m2t25","1711.40","1.22","375","3225.60(21.59%)"
"XAU","BWD","m2t25","748.03","1.82","106","817.90(7.33%)"
"XAU","FWD","m2t30","2049.09","1.28","346","3225.60(21.12%)"
"XAU","BWD","m2t30","746.39","1.82","98","817.90(7.33%)"
"AUDNZD","FWD","base","1034.93","1.42","201","578.69(5.47%)"
"AUDNZD","BWD","base","-69.20","0.95","86","854.03(7.92%)"
"AUDNZD","FWD","m1t20","990.65","1.53","160","437.66(4.18%)"
"AUDNZD","BWD","m1t20","-646.49","0.74","134","687.51(6.85%)"
"AUDNZD","FWD","m1t25","513.75","1.27","142","478.16(4.67%)"
"AUDNZD","BWD","m1t25","376.84","1.76","44","364.35(3.57%)"
"AUDNZD","FWD","m1t30","368.35","1.55","49","329.75(3.22%)"
"AUDNZD","BWD","m1t30","425.47","1.95","42","364.35(3.55%)"
"AUDNZD","FWD","m1rng25","186.75","1.10","134","714.42(6.94%)"
"AUDNZD","BWD","m1rng25","-255.16","0.70","47","611.80(6.06%)"
"AUDNZD","FWD","m2t20","699.52","1.44","139","402.42(3.89%)"
"AUDNZD","BWD","m2t20","-374.93","0.73","75","739.49(7.13%)"
"AUDNZD","FWD","m2t25","508.64","1.31","135","477.64(4.67%)"
"AUDNZD","BWD","m2t25","287.16","1.46","50","364.35(3.57%)"
"AUDNZD","FWD","m2t30","338.42","1.76","46","366.13(3.58%)"
"AUDNZD","BWD","m2t30","335.79","1.58","48","364.35(3.55%)"
