"ea","window","config","net","pf","trades","eqdd"
"GBPAUD","FWD","base","1169.97","1.64","105","559.10(5.11%)"
"GBPAUD","BWD","base","217.90","1.56","17","657.73(6.05%)"
"GBPAUD","FWD","m1t20","519.01","1.40","51","459.38(4.38%)"
"GBPAUD","BWD","m1t20","392.35","2.83","15","483.28(4.44%)"
"GBPAUD","FWD","m1t25","520.62","1.41","53","465.79(4.45%)"
"GBPAUD","BWD","m1t25","199.94","1.45","14","565.72(5.27%)"
"CADJPY","FWD","base","1041.59","1.95","76","413.54(3.69%)"
"CADJPY","BWD","base","220.26","1.08","105","652.50(6.00%)"
"CADJPY","FWD","m1t20","1136.79","2.27","73","311.66(2.81%)"
"CADJPY","BWD","m1t20","-16.64","0.99","92","652.50(6.13%)"
"CADJPY","FWD","m1t25","934.10","1.90","74","397.64(3.55%)"
"CADJPY","BWD","m1t25","46.72","1.02","85","517.88(4.90%)"
"EURJPY","FWD","base","2608.57","2.51","114","669.53(5.99%)"
"EURJPY","BWD","base","812.16","1.18","168","1279.65(11.89%)"
"EURJPY","FWD","m1t20","2636.03","2.51","116","669.53(5.99%)"
"EURJPY","BWD","m1t20","-216.16","0.96","165","1289.58(11.67%)"
"EURJPY","FWD","m1t25","2790.30","2.79","108","669.53(5.99%)"
"EURJPY","BWD","m1t25","704.97","1.23","123","674.03(5.94%)"
"EURUSD","FWD","base","660.51","1.96","69","467.56(4.42%)"
"EURUSD","BWD","base","324.23","1.13","189","1131.96(11.02%)"
"EURUSD","FWD","m1t20","368.47","1.48","66","525.60(5.08%)"
"EURUSD","BWD","m1t20","-709.19","0.89","425","2063.30(19.90%)"
"EURUSD","FWD","m1t25","-360.56","0.54","36","651.89(6.49%)"
"EURUSD","BWD","m1t25","-861.85","0.84","334","2486.93(23.94%)"
"USDJPY","FWD","base","852.21","1.52","137","625.89(6.14%)"
"USDJPY","BWD","base","351.71","1.07","306","1521.31(14.89%)"
"USDJPY","FWD","m1t20","873.32","1.52","155","509.74(5.00%)"
"USDJPY","BWD","m1t20","1350.10","1.54","203","488.52(4.38%)"
"USDJPY","FWD","m1t25","646.99","1.44","133","593.18(5.84%)"
"USDJPY","BWD","m1t25","1380.62","1.65","184","484.97(4.36%)"
"AUDCAD","FWD","base","1113.15","1.58","149","667.91(6.36%)"
"AUDCAD","BWD","base","776.34","1.93","56","532.36(5.01%)"
"AUDCAD","FWD","m1t20","916.54","1.65","107","558.89(5.42%)"
"AUDCAD","BWD","m1t20","611.26","1.61","56","535.88(5.10%)"
"AUDCAD","FWD","m1t25","349.52","1.17","119","905.62(8.86%)"
"AUDCAD","BWD","m1t25","611.26","1.61","56","535.88(5.10%)"
"NZDUSD","FWD","base","790.70","1.45","118","778.66(7.19%)"
"NZDUSD","BWD","base","688.18","6.96","10","343.10(3.27%)"
"NZDUSD","FWD","m1t20","-337.93","0.85","107","1030.62(10.10%)"
"NZDUSD","BWD","m1t20","692.98","7.00","10","351.90(3.35%)"
"NZDUSD","FWD","m1t25","-611.14","0.72","93","1019.09(10.14%)"
"NZDUSD","BWD","m1t25","166.03","1.44","11","537.01(5.12%)"
"GBPJPY","FWD","base","1245.97","1.52","86","978.23(8.21%)"
"GBPJPY","BWD","base","140.17","1.07","57","1060.00(9.65%)"
"GBPJPY","FWD","m1t20","825.21","1.30","100","855.06(7.53%)"
"GBPJPY","BWD","m1t20","-284.99","0.86","48","1137.62(10.48%)"
"GBPJPY","FWD","m1t25","179.36","1.06","87","673.08(6.51%)"
"GBPJPY","BWD","m1t25","643.79","1.48","50","927.52(8.04%)"
