combo,window,PF,Trades,DDpct,RF,Net,status
T1A_P10_L52,MAIN,0.95,324,5.93,-0.34,-209.15,ok
T1A_P10_L52,BWD,0.86,346,6.58,-0.69,-456.33,ok
T1A_P10_L54,MAIN,1.01,343,3.91,0.09,35.14,ok
T1A_P10_L54,BWD,0.70,352,,-0.86,-1,ok
T1A_P10_L55,MAIN,1.04,338,3.50,0.49,175.32,ok
T1A_P10_L55,BWD,0.74,337,,-0.83,-867.37,ok
T1A_P10_L56,MAIN,1.00,336,4.08,0.05,19.17,ok
T1A_P10_L56,BWD,0.80,334,8.50,-0.77,-654.82,ok
T1A_P10_L58,MAIN,0.98,338,5.12,-0.19,-102.12,ok
T1A_P10_L58,BWD,0.81,307,8.48,-0.67,-575.70,ok
T1A_P11_L52,MAIN,0.93,320,6.17,-0.51,-319.87,ok
T1A_P11_L52,BWD,0.90,329,5.27,-0.58,-305.91,ok
T1A_P11_L54,MAIN,0.96,335,3.95,-0.45,-177.71,ok
T1A_P11_L54,BWD,0.69,331,,-0.84,-1,ok
T1A_P11_L55,MAIN,0.98,333,5.41,-0.20,-107.34,ok
T1A_P11_L55,BWD,0.73,318,,-0.77,-877.76,ok
T1A_P11_L56,MAIN,1.05,326,4.69,0.42,197.25,ok
T1A_P11_L56,BWD,0.79,308,8.69,-0.73,-640.30,ok
T1A_P11_L58,MAIN,1.00,313,6.33,0.02,16.51,ok
T1A_P11_L58,BWD,0.82,295,8.16,-0.63,-515.71,ok
T1A_P7_L52,MAIN,0.97,359,4.66,-0.25,-119.13,ok
T1A_P7_L52,BWD,0.77,379,,-0.77,-799.76,ok
T1A_P7_L54,MAIN,0.96,372,4.60,-0.39,-182.93,ok
T1A_P7_L54,BWD,0.71,391,,-0.89,-1,ok
T1A_P7_L55,MAIN,1.04,370,4.31,0.44,200.87,ok
T1A_P7_L55,BWD,0.73,388,,-0.89,-1,ok
T1A_P7_L56,MAIN,1.00,385,4.62,-0.05,-23.19,ok
T1A_P7_L56,BWD,0.71,389,,-0.88,-1,ok
T1A_P7_L58,MAIN,0.93,375,4.95,-0.69,-347.20,ok
T1A_P7_L58,BWD,0.74,378,,-0.82,-957.24,ok
T1A_P8_L52,MAIN,0.88,353,6.60,-0.86,-569.55,ok
T1A_P8_L52,BWD,0.69,373,,-0.86,-1,ok
T1A_P8_L54,MAIN,1.05,356,3.85,0.55,225.14,ok
T1A_P8_L54,BWD,0.71,375,,-0.87,-1,ok
T1A_P8_L55,MAIN,1.01,346,4.33,0.09,39.08,ok
T1A_P8_L55,BWD,0.74,380,,-0.84,-915.44,ok
T1A_P8_L56,MAIN,0.95,354,5.08,-0.41,-212.83,ok
T1A_P8_L56,BWD,0.80,371,8.62,-0.79,-686.13,ok
T1A_P8_L58,MAIN,1.05,359,4.33,0.52,231.84,ok
T1A_P8_L58,BWD,0.76,362,,-0.83,-833.91,ok
T1A_P9_L52,MAIN,0.96,333,6.14,-0.24,-153.92,ok
T1A_P9_L52,BWD,0.71,360,,-0.85,-1,ok
T1A_P9_L54,MAIN,0.99,344,5.31,-0.10,-57.94,ok
T1A_P9_L54,BWD,0.75,365,,-0.80,-868.94,ok
T1A_P9_L55,MAIN,1.00,364,4.37,-0.03,-13.82,ok
T1A_P9_L55,BWD,0.69,364,,-0.90,-1,ok
T1A_P9_L56,MAIN,1.13,354,3.70,1.52,564.07,ok
T1A_P9_L56,BWD,0.83,351,7.34,-0.77,-566.03,ok
T1A_P9_L58,MAIN,1.01,322,3.92,0.09,34.39,ok
T1A_P9_L58,BWD,0.76,321,9.88,-0.76,-753.58,ok
T1B_P18_L47,MAIN,0.83,251,9.80,-0.65,-650.60,ok
T1B_P18_L47,BWD,1.11,242,3.15,0.81,264.31,ok
T1B_P18_L49,MAIN,0.88,259,6.83,-0.68,-466.95,ok
T1B_P18_L49,BWD,0.98,228,3.75,-0.14,-53.73,ok
T1B_P18_L50,MAIN,0.98,250,4.96,-0.16,-81.97,ok
T1B_P18_L50,BWD,0.98,235,5.43,-0.08,-42.49,ok
T1B_P18_L51,MAIN,0.97,244,6.36,-0.16,-105.68,ok
T1B_P18_L51,BWD,1.08,237,3.44,0.51,181.50,ok
T1B_P18_L53,MAIN,1.00,243,6.48,-0.02,-13.53,ok
T1B_P18_L53,BWD,1.01,253,5.00,0.05,26.76,ok
T1B_P20_L47,MAIN,0.80,240,,-0.69,-752.52,ok
T1B_P20_L47,BWD,1.01,226,3.30,0.08,25.99,ok
T1B_P20_L49,MAIN,0.75,244,,-0.83,-997.31,ok
T1B_P20_L49,BWD,1.04,214,3.23,0.28,93.60,ok
T1B_P20_L50,MAIN,0.90,239,6.59,-0.53,-357.91,ok
T1B_P20_L50,BWD,1.04,212,3.60,0.21,78.32,ok
T1B_P20_L51,MAIN,1.00,224,6.58,0.01,5.05,ok
T1B_P20_L51,BWD,0.98,218,5.23,-0.09,-48.98,ok
T1B_P20_L53,MAIN,0.87,230,8.21,-0.58,-485.17,ok
T1B_P20_L53,BWD,0.98,254,4.86,-0.09,-45.87,ok
T1B_P21_L47,MAIN,0.88,218,8.19,-0.47,-394.76,ok
T1B_P21_L47,BWD,1.00,229,3.48,-0.01,-4.05,ok
T1B_P21_L49,MAIN,0.79,237,,-0.71,-813.31,ok
T1B_P21_L49,BWD,1.09,203,2.71,0.65,182.77,ok
T1B_P21_L50,MAIN,0.86,226,8.56,-0.58,-506.35,ok
T1B_P21_L50,BWD,0.96,214,4.67,-0.21,-100.50,ok
T1B_P21_L51,MAIN,1.03,238,6.44,0.14,94.29,ok
T1B_P21_L51,BWD,0.99,219,4.81,-0.06,-30.70,ok
T1B_P21_L53,MAIN,0.93,219,6.66,-0.34,-235.72,ok
T1B_P21_L53,BWD,1.02,238,4.22,0.10,45.68,ok
T1B_P23_L47,MAIN,0.79,202,9.67,-0.70,-680.77,ok
T1B_P23_L47,BWD,1.13,207,3.17,0.82,276.39,ok
T1B_P23_L49,MAIN,0.82,219,,-0.64,-650.05,ok
T1B_P23_L49,BWD,0.99,207,3.63,-0.08,-30.96,ok
T1B_P23_L50,MAIN,0.84,226,8.99,-0.66,-599.71,ok
