set,tf,window,PF,Trades,Net,Win
A_SMA14_P14,H4,MAIN,0.78,141,-169.13,32.62
A_SMA14_P14,H4,BWD,1.52,132,369.41,37.88
A_SMA30_P9,H4,MAIN,0.71,-227.27,134,2.55,27.61,-0.89,-0.97,OK
A_SMA14_P14,H1,MAIN,NO_REPORT,,,
A_SMA30_P9,H4,BWD,1.21,156.59,117,1.46,36.75,1.06,0.49,OK
A_SMA14_P14,H1,BWD,NO_REPORT,,,
A_SMA14_P21,H4,MAIN,1.00,138,2.28,34.78
A_SMA14_P21,H4,BWD,1.22,125,164.11,34.40
B_P14_L45,H4,MAIN,0.65,-193.12,77,2.86,23.38,-0.67,-1.07,OK
A_SMA14_P21,H1,MAIN,NO_REPORT,,,
B_P14_L45,H4,BWD,1.26,155.82,78,2.63,32.05,0.58,0.59,OK
A_SMA14_P21,H1,BWD,NO_REPORT,,,
A_SMA14_P9,H4,MAIN,0.91,145,-71.36,33.10
A_SMA14_P9,H4,BWD,1.32,149,276.73,38.26
B_P14_L50,H4,MAIN,0.96,-22.78,94,2.31,31.91,-0.10,-0.12,OK
A_SMA14_P9,H1,MAIN,NO_REPORT,,,
B_P14_L50,H4,BWD,,,,,,,,NO_REPORT
A_SMA14_P9,H1,BWD,0.85,576,-304.95,29.86
A_SMA20_P14,H4,MAIN,0.85,136,-106.91,30.15
A_SMA20_P14,H4,BWD,1.55,122,370.56,40.16
B_P14_L55,H4,MAIN,1.02,12.77,92,1.47,32.61,0.09,0.07,OK
A_SMA20_P14,H1,MAIN,NO_REPORT,,,
B_P14_L55,H4,BWD,,,,,,,,NO_REPORT
A_SMA20_P14,H1,BWD,0.88,547,-230.12,29.25
A_SMA20_P21,H4,MAIN,0.92,132,-57.02,31.06
A_SMA20_P21,H4,BWD,1.59,103,354.67,41.75
B_P21_L45,H4,MAIN,0.79,-101.77,64,2.11,25.00,-0.48,-0.57,OK
A_SMA20_P21,H1,MAIN,NO_REPORT,,,
B_P21_L45,H4,BWD,,,,,,,,NO_REPORT
A_SMA20_P21,H1,BWD,0.82,494,-328.22,28.95
A_SMA20_P9,H4,MAIN,0.67,143,-269.14,27.27
A_SMA20_P9,H4,BWD,1.25,128,191.26,35.94
B_P21_L50,H4,MAIN,0.95,-23.52,67,1.41,31.34,-0.17,-0.13,OK
A_SMA20_P9,H1,MAIN,NO_REPORT,,,
B_P21_L50,H4,BWD,,,,,,,,NO_REPORT
A_SMA20_P9,H1,BWD,0.89,550,-220.42,29.82
A_SMA30_P14,H4,MAIN,0.98,119,-14.55,32.77
A_SMA30_P14,H4,BWD,1.72,107,435.65,42.99
