Sweep,Expert,Symbol,Period,Window,SetName,PF,Trades,DDpct,Net,RF
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F12_S21_G7,0.94,55,1.78,-19.27,-0.11
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F12_S21_G7,1.06,26,0.97,8.79,0.09
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F12_S21_G9,0.94,55,1.78,-19.27,-0.11
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F12_S21_G9,1.06,26,0.97,8.79,0.09
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F12_S26_G7,0.94,55,1.78,-19.27,-0.11
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F12_S26_G7,1.24,24,0.90,31.60,0.35
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F12_S26_G9,0.94,55,1.78,-19.27,-0.11
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F12_S26_G9,1.24,24,0.90,31.60,0.35
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F12_S34_G7,1.42,43,0.80,106.79,1.32
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F12_S34_G7,1.29,29,0.82,45.48,0.55
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F12_S34_G9,1.42,43,0.80,106.79,1.32
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F12_S34_G9,1.29,29,0.82,45.48,0.55
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F16_S21_G7,1.43,45,0.88,115.58,1.30
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F16_S21_G7,1.06,35,1.10,11.59,0.10
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F16_S21_G9,1.43,45,0.88,115.58,1.30
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F16_S21_G9,1.06,35,1.10,11.59,0.10
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F16_S26_G7,1.35,44,0.82,93.84,1.14
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F16_S26_G7,1.50,32,0.88,85.11,0.95
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F16_S26_G9,1.35,44,0.82,93.84,1.14
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F16_S26_G9,1.50,32,0.88,85.11,0.95
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F16_S34_G7,1.54,42,0.80,127.05,1.57
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F16_S34_G7,1.14,36,0.66,24.96,0.38
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F16_S34_G9,1.54,42,0.80,127.05,1.57
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F16_S34_G9,1.14,36,0.66,24.96,0.38
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F8_S21_G7,0.70,51,1.72,-105.69,-0.61
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F8_S21_G7,1.50,18,0.70,49.14,0.69
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F8_S21_G9,0.70,51,1.72,-105.69,-0.61
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F8_S21_G9,1.50,18,0.70,49.14,0.69
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F8_S26_G7,0.80,48,1.29,-60.83,-0.47
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F8_S26_G7,1.48,16,0.76,43.27,0.56
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F8_S26_G9,0.80,48,1.29,-60.83,-0.47
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F8_S26_G9,1.48,16,0.76,43.27,0.56
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F8_S34_G7,0.94,59,1.76,-20.23,-0.11
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F8_S34_G7,1.34,18,0.76,34.05,0.44
S1,MacdDiv_Naked,GBPUSD,D1,BWD,MDX_F8_S34_G9,0.94,59,1.76,-20.23,-0.11
S1,MacdDiv_Naked,GBPUSD,D1,MAIN,MDX_F8_S34_G9,1.34,18,0.76,34.05,0.44
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P14_L45,0.96,241,4.72,-94.48,-0.20
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P14_L45,0.94,262,5.79,-212.73,-0.36
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P14_L45,0.97,78,3.69,-38.05,-0.10
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P14_L45,0.94,49,5.36,-79.96,-0.15
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P14_L50,1.05,284,4.09,141.68,0.34
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P14_L50,0.88,270,7.99,-475.59,-0.58
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P14_L50,1.27,77,2.64,324.31,1.17
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P14_L50,1.00,71,8.80,1.10,0.00
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P14_L55,0.88,283,7.40,-331.62,-0.44
