"symbol","atr","window","pf","net","dd_pct","trades"
"EURUSD",4,"BWD",0.63,-3141.29,32.85,544.0
"EURUSD",4,"FWD",3.5,1914.42,6.22,278.0
"EURUSD",6,"BWD",1.11,451.24,10.45,396.0
"EURUSD",6,"FWD",1.82,821.85,6.07,189.0
"EURUSD",8,"BWD",1.32,754.66,7.52,293.0
"EURUSD",8,"FWD",2.84,959.07,2.98,137.0
"AUDUSD",5,"BWD",1.15,629.21,19.08,459.0
"AUDUSD",5,"FWD",0.99,-19.57,13.37,181.0
"GBPUSD",5,"BWD",1.05,274.8,16.67,454.0
"GBPUSD",5,"FWD",3.61,1911.63,4.47,237.0
"USDJPY",5,"BWD",0.41,-5024.92,54.37,426.0
"USDJPY",5,"FWD",1.11,219.41,10.25,198.0
