"tag","rsi_os","rsi_ob","sl_atr","window","pf","net","trades","dd_pct","win_pct"
"RSI25_75_SL15",25,75,15,"MAIN",1.15,210.47,177,4.10,54.80
"RSI25_75_SL15",25,75,15,"BWD",0.90,-161.68,157,3.79,54.78
"RSI25_75_SL25",25,75,25,"MAIN",1.96,1106.67,216,4.99,66.20
"RSI25_75_SL25",25,75,25,"BWD",1.56,830.00,199,5.48,65.83
"RSI25_75_SL35",25,75,35,"MAIN",1.56,872.15,232,,65.52
"RSI25_75_SL35",25,75,35,"BWD",1.72,1089.90,221,7.71,66.06
"RSI30_70_SL15",30,70,15,"MAIN",1.00,-7.79,223,3.22,59.19
"RSI30_70_SL15",30,70,15,"BWD",1.01,26.87,212,2.88,53.30
"RSI30_70_SL25",30,70,25,"MAIN",1.37,792.52,280,8.07,67.86
"RSI30_70_SL25",30,70,25,"BWD",1.37,793.08,267,5.35,62.55
"RSI30_70_SL35",30,70,35,"MAIN",1.24,623.59,302,,67.88
"RSI30_70_SL35",30,70,35,"BWD",1.57,1264.09,284,7.26,64.79
"RSI35_65_SL15",35,65,15,"MAIN",1.03,74.39,248,3.64,57.66
"RSI35_65_SL15",35,65,15,"BWD",0.82,-481.96,243,7.34,53.09
"RSI35_65_SL25",35,65,25,"MAIN",1.23,585.98,311,9.36,63.02
"RSI35_65_SL25",35,65,25,"BWD",1.32,814.48,303,3.72,59.74
"RSI35_65_SL35",35,65,35,"MAIN",1.19,554.16,327,,62.69
"RSI35_65_SL35",35,65,35,"BWD",0.90,-414.39,302,,59.27
