"tag","lotmode","param","pf","net","dd_pct","trades"
"FIXED",0,"",0.78,-588.02,12.24,393.0
"LIN_0.01",1,"_05_LinearStep=0.01",1.19,1020.8,30.5,887.0
"LIN_0.02",1,"_05_LinearStep=0.02",2.63,5674.19,17.58,1250.0
"LIN_0.03",1,"_05_LinearStep=0.03",2.56,6638.81,18.81,1372.0
"MART_1.3",2,"_05_MartMult=1.3",1.0,-4.84,20.22,671.0
"MART_1.5",2,"_05_MartMult=1.5",1.18,1080.38,35.11,859.0
"LOG_2",3,"_05_LogFactor=2.0",1.13,463.77,24.12,536.0
"LOG_5",3,"_05_LogFactor=5.0",2.96,7518.99,18.83,1270.0
"LOG_10",3,"_05_LogFactor=10.0",1.03,322.11,60.88,1125.0
"LOG_20",3,"_05_LogFactor=20.0",0.54,-8332.33,95.32,1080.0
