"symbol","tf","window","pf","dd_pct","trades"
"EURUSD","M30","BWD",1.04,9.69,506.0
"EURUSD","M30","FWD",1.41,3.51,200.0
"EURUSD","H1","BWD",1.38,5.33,267.0
"EURUSD","H1","FWD",2.17,3.36,104.0
"GBPUSD","M30","BWD",0.98,13.36,536.0
"GBPUSD","M30","FWD",1.58,4.47,246.0
"GBPUSD","H1","BWD",0.87,14.53,262.0
"GBPUSD","H1","FWD",1.51,4.49,130.0
"USDJPY","M30","BWD",0.64,23.71,430.0
"USDJPY","M30","FWD",1.33,4.62,216.0
"USDJPY","H1","BWD",0.66,23.02,237.0
"USDJPY","H1","FWD",2.02,3.36,110.0
"USDCHF","M30","BWD",0.89,8.76,490.0
"USDCHF","M30","FWD",2.26,2.59,237.0
"USDCHF","H1","BWD",0.97,6.7,248.0
"USDCHF","H1","FWD",1.85,2.32,96.0
"USDCAD","M30","BWD",1.08,6.41,415.0
"USDCAD","M30","FWD",0.91,5.37,184.0
"USDCAD","H1","BWD",1.22,7.88,234.0
"USDCAD","H1","FWD",0.99,4.61,113.0
"AUDUSD","M30","BWD",1.06,13.01,452.0
"AUDUSD","M30","FWD",1.74,4.47,175.0
"AUDUSD","H1","BWD",0.62,21.94,222.0
"AUDUSD","H1","FWD",1.31,4.59,93.0
"NZDUSD","M30","BWD",0.77,14.28,374.0
"NZDUSD","M30","FWD",2.04,3.16,203.0
"NZDUSD","H1","BWD",0.76,11.04,212.0
"NZDUSD","H1","FWD",2.42,1.73,84.0
"EURJPY","M30","BWD",1.16,11.54,463.0
"EURJPY","M30","FWD",1.23,6.17,212.0
"EURJPY","H1","BWD",1.04,9.91,225.0
"EURJPY","H1","FWD",0.94,9.06,100.0
"GBPJPY","M30","BWD",0.71,27.2,476.0
"GBPJPY","M30","FWD",1.8,3.07,199.0
"GBPJPY","H1","BWD",0.82,15.53,256.0
"GBPJPY","H1","FWD",1.37,6.55,89.0
"EURGBP","M30","BWD",0.96,10.78,438.0
"EURGBP","M30","FWD",0.83,4.88,187.0
"EURGBP","H1","BWD",1.0,9.1,201.0
"EURGBP","H1","FWD",1.34,3.55,90.0
"EURCHF","M30","BWD",0.87,14.42,391.0
"EURCHF","M30","FWD",1.31,4.07,158.0
"EURCHF","H1","BWD",0.91,11.81,179.0
"EURCHF","H1","FWD",2.57,3.14,80.0
"AUDJPY","M30","BWD",0.8,18.77,425.0
"AUDJPY","M30","FWD",1.85,2.36,187.0
"AUDJPY","H1","BWD",0.65,17.0,199.0
"AUDJPY","H1","FWD",2.11,2.42,94.0
"CHFJPY","M30","BWD",0.98,15.9,375.0
"CHFJPY","M30","FWD",1.42,5.65,199.0
"CHFJPY","H1","BWD",0.87,12.93,207.0
"CHFJPY","H1","FWD",1.49,7.03,113.0
"EURAUD","M30","BWD",0.79,16.16,393.0
"EURAUD","M30","FWD",1.01,6.85,212.0
"EURAUD","H1","BWD",0.97,10.13,188.0
