"tag","axis","rsi_os","rsi_ob","sl_atr","dist_atr","window","pf","net","trades","dd_pct","win_pct"
"CENTER","CENTER",25,75,25,9,"MAIN",1.96,1106.67,216,4.99,66.20
"CENTER","CENTER",25,75,25,9,"BWD",1.56,830.00,199,5.48,65.83
"RSI_OS_LOW","RSI_OS_LOW",20,75,25,9,"MAIN",2.04,831.78,160,3.73,65.62
"RSI_OS_LOW","RSI_OS_LOW",20,75,25,9,"BWD",1.96,882.77,156,3.72,69.87
"RSI_OS_HIGH","RSI_OS_HIGH",30,75,25,9,"MAIN",1.32,621.37,254,8.23,66.93
"RSI_OS_HIGH","RSI_OS_HIGH",30,75,25,9,"BWD",1.82,1241.32,232,5.28,67.24
"RSI_OB_LOW","RSI_OB_LOW",25,60,25,9,"MAIN",1.99,1442.63,272,4.22,66.18
"RSI_OB_LOW","RSI_OB_LOW",25,60,25,9,"BWD",1.28,654.02,286,5.28,61.89
"RSI_OB_HIGH","RSI_OB_HIGH",25,90,25,9,"MAIN",1.65,451.28,106,5.53,68.87
"RSI_OB_HIGH","RSI_OB_HIGH",25,90,25,9,"BWD",1.27,260.45,114,5.89,62.28
"SL_LOW","SL_LOW",25,75,20,9,"MAIN",1.73,868.44,203,4.74,62.56
"SL_LOW","SL_LOW",25,75,20,9,"BWD",1.39,535.45,179,2.86,60.34
"SL_HIGH","SL_HIGH",25,75,30,9,"MAIN",2.16,1316.85,231,5.45,63.64
"SL_HIGH","SL_HIGH",25,75,30,9,"BWD",1.43,736.57,211,7.49,65.40
"DIST_LOW","DIST_LOW",25,75,25,7,"MAIN",2.17,1460.36,265,5.22,68.68
"DIST_LOW","DIST_LOW",25,75,25,7,"BWD",1.62,1225.85,289,8.34,65.40
"DIST_HIGH","DIST_HIGH",25,75,25,11,"MAIN",1.98,930.01,173,4.57,64.16
"DIST_HIGH","DIST_HIGH",25,75,25,11,"BWD",1.10,171.57,160,4.43,62.50
