"symbol","tf","window","pf","dd_pct","trades"
"EURUSD","M30","BWD",1.04,9.69,506.0
"EURUSD","M30","FWD",1.41,3.51,200.0
"EURUSD","H1","BWD",1.38,5.33,267.0
"EURUSD","H1","FWD",2.17,3.36,104.0
"EURUSD","H4","BWD",0.34,17.49,54.0
"EURUSD","H4","FWD",2.5,1.23,27.0
"GBPUSD","M30","BWD",0.98,13.36,536.0
"GBPUSD","M30","FWD",1.58,4.47,246.0
"GBPUSD","H1","BWD",0.87,14.53,262.0
"GBPUSD","H1","FWD",1.51,4.49,130.0
"GBPUSD","H4","BWD",0.97,4.53,56.0
"GBPUSD","H4","FWD",2.43,1.94,21.0
"USDJPY","M30","BWD",0.64,23.71,430.0
"USDJPY","M30","FWD",1.33,4.62,216.0
"USDJPY","H1","BWD",0.66,23.02,237.0
"USDJPY","H1","FWD",2.02,3.36,110.0
"USDJPY","H4","BWD",0.35,15.95,51.0
"USDJPY","H4","FWD",0.52,3.52,24.0
"AUDUSD","M30","BWD",1.06,13.01,452.0
"AUDUSD","M30","FWD",1.74,4.47,175.0
"AUDUSD","H1","BWD",0.62,21.94,222.0
"AUDUSD","H1","FWD",1.31,4.59,93.0
"AUDUSD","H4","BWD",0.94,8.25,56.0
"AUDUSD","H4","FWD",1.19,2.81,22.0
