time,profit
2020.01.23 18:00:00,14.89
2020.01.31 17:00:00,1.27
2020.01.31 17:00:00,8.94
2020.01.31 17:00:00,1.27
2020.01.31 17:00:00,8.94
2020.01.31 18:00:00,31.2
2020.01.31 18:00:00,9.12
2020.01.31 18:00:00,-5.55
2020.01.31 18:00:00,-6.09
2020.02.11 16:00:00,15.04
2020.02.12 21:19:51,-31.95
2020.02.12 21:23:22,-15.41
2020.02.27 05:00:00,-0.44
2020.02.27 07:00:00,-0.22
2020.02.27 10:00:00,24.93
2020.02.27 10:00:00,1.95
2020.03.03 17:17:59,-34.77
2020.03.09 04:49:36,-126.24
2020.03.12 16:00:00,-6.0
2020.03.12 16:00:00,44.22
2020.03.12 16:00:00,-30.0
2020.03.24 10:00:00,53.46
2020.03.24 10:00:00,-31.16
2020.04.07 11:00:00,25.83
2020.04.07 11:00:00,-7.26
2020.04.15 14:00:00,19.77
2020.04.15 14:00:00,-2.74
2020.04.27 12:00:00,22.44
2020.04.27 12:00:00,-5.95
2020.05.22 11:00:00,18.45
2020.05.22 11:00:00,-2.27
2020.05.27 13:00:00,17.74
2020.05.29 12:10:35,-19.68
2020.06.12 21:00:00,12.13
2020.06.12 21:00:00,12.13
2020.06.18 20:00:00,45.54
2020.06.18 20:00:00,2.73
2020.06.18 20:00:00,-32.34
2020.07.09 18:00:00,20.61
2020.07.09 18:00:00,-3.63
2020.07.15 11:00:00,18.58
2020.07.29 21:11:27,-39.9
2020.08.03 14:00:00,-1.55
2020.08.03 14:00:00,16.42
2020.08.03 14:00:00,-1.55
2020.08.03 14:00:00,16.42
2020.08.06 09:08:11,-111.12
2020.08.07 17:00:00,34.89
2020.08.07 17:00:00,-19.02
2020.08.18 16:00:00,16.31
2020.08.19 22:00:00,23.97
2020.08.19 22:00:00,-1.88
2020.09.21 18:00:00,14.94
2020.09.29 15:00:00,8.0
2020.09.29 15:00:00,8.0
2020.09.29 18:00:00,31.05
2020.09.29 18:00:00,1.92
2020.09.29 18:00:00,-12.59
2020.10.07 05:00:00,18.75
2020.10.07 05:00:00,-2.18
2020.10.30 19:00:00,15.36
2020.11.03 18:00:00,26.34
2020.11.03 18:00:00,-2.59
2020.11.09 16:28:26,-23.72
2020.11.09 19:00:00,16.41
2020.11.30 11:00:00,16.7
2020.12.03 00:01:04,-27.94
2020.12.03 14:58:12,-69.0
2020.12.09 21:00:00,1.94
2020.12.17 19:00:00,16.03
2020.12.21 13:00:00,-6.69
2020.12.21 13:00:00,10.38
2020.12.21 13:00:00,10.38
2020.12.21 13:00:00,31.14
2020.12.21 13:00:00,4.08
2020.12.21 13:00:00,-20.07
2021.01.15 18:00:00,14.41
2021.01.20 09:00:00,23.19
2021.01.20 09:00:00,-4.17
2021.01.25 17:00:00,17.25
2021.01.25 17:00:00,-1.27
2021.02.05 17:00:00,6.38
2021.02.05 17:00:00,6.38
2021.02.05 21:00:00,25.53
2021.02.05 21:00:00,1.17
2021.02.05 21:00:00,-7.95
2021.02.17 16:00:00,24.87
2021.02.17 16:00:00,-1.37
2021.02.25 13:00:00,15.93
2021.03.04 21:00:00,16.35
2021.03.24 23:00:00,15.13
2021.04.06 19:00:00,1.02
2021.04.06 19:00:00,17.8
2021.04.06 19:00:00,1.02
2021.04.06 19:00:00,17.8
2021.04.07 11:00:00,11.6
2021.04.07 11:00:00,11.6
2021.04.08 20:00:00,47.7
2021.04.08 20:00:00,24.06
2021.04.08 20:00:00,-9.0
2021.04.08 20:00:00,-14.51
2021.04.28 21:45:40,-36.03
2021.04.29 03:50:19,-80.49
2021.04.30 18:00:00,-8.13
2021.04.30 18:00:00,0.76
2021.04.30 18:00:00,23.07
2021.04.30 18:00:00,-8.13
2021.04.30 18:00:00,0.76
2021.04.30 18:00:00,15.38
2021.04.30 18:00:00,46.14
2021.04.30 18:00:00,1.9
2021.04.30 18:00:00,-24.39
2021.05.07 05:00:00,18.36
2021.05.07 05:00:00,-1.54
2021.05.12 18:00:00,22.29
2021.05.12 18:00:00,-3.04
2021.05.19 09:00:00,16.21
2021.06.04 17:00:00,19.56
2021.06.04 17:00:00,-0.84
2021.06.16 22:00:00,16.44
2021.06.18 15:29:09,-26.56
2021.07.06 19:00:00,15.04
2021.07.29 16:00:00,9.88
2021.07.29 16:00:00,9.88
2021.07.30 12:00:00,36.36
2021.07.30 12:00:00,16.53
2021.07.30 12:00:00,-12.6
2021.08.10 16:00:00,14.07
2021.08.13 19:00:00,18.48
2021.08.13 19:00:00,-1.06
2021.08.23 18:00:00,16.65
2021.08.23 18:00:00,0.06
2021.09.07 23:00:00,3.83
2021.09.08 09:00:00,4.17
2021.09.08 13:00:00,18.9
2021.09.08 13:00:00,3.42
2021.09.08 13:00:00,-5.05
2021.09.29 14:17:05,-17.7
2021.09.29 21:00:00,15.25
2021.10.19 06:00:00,9.16
2021.10.19 06:00:00,9.16
2021.10.19 13:00:00,34.62
2021.10.19 13:00:00,15.33
2021.10.19 13:00:00,-19.29
2021.11.10 22:00:00,14.89
2021.11.24 12:00:00,16.09
2021.11.30 11:00:00,-1.4
2021.11.30 11:00:00,21.42
2021.11.30 11:00:00,-1.4
2021.11.30 11:00:00,21.42
2021.11.30 17:00:00,13.65
2021.11.30 17:00:00,13.65
2021.11.30 18:00:00,31.05
2021.11.30 18:00:00,-1.27
2022.01.12 20:00:00,60.66
2022.01.12 20:00:00,24.33
2022.01.12 20:00:00,-5.22
2022.01.12 20:00:00,-12.84
2022.01.18 15:00:00,17.7
2022.01.18 15:00:00,-3.47
2022.01.31 21:00:00,1.27
2022.01.31 21:00:00,17.18
2022.01.31 21:00:00,1.27
2022.01.31 21:00:00,17.18
2022.02.01 10:00:00,11.92
2022.02.01 10:00:00,11.92
2022.02.01 14:00:00,37.74
2022.02.01 14:00:00,15.78
2022.02.01 14:00:00,-17.04
2022.02.01 14:00:00,-14.22
2022.02.11 21:00:00,11.04
2022.02.11 21:00:00,11.04
2022.02.14 11:00:00,45.57
2022.02.14 11:00:00,-6.18
2022.02.14 11:00:00,-9.95
2022.02.24 06:00:00,15.04
2022.02.28 02:00:00,4.95
2022.02.28 02:00:00,4.95
2022.02.28 10:00:00,5.86
2022.02.28 13:00:00,29.49
2022.02.28 13:00:00,-10.58
2022.03.09 12:00:00,36.99
2022.03.09 12:00:00,-13.42
2022.03.30 12:00:00,16.86
2022.04.01 18:00:00,21.75
2022.04.01 18:00:00,-5.27
2022.04.14 16:54:30,-25.35
2022.04.21 10:00:00,29.28
2022.04.21 10:00:00,2.04
2022.04.26 11:00:00,16.22
2022.05.04 22:00:00,11.27
2022.05.04 22:00:00,11.27
2022.05.12 11:00:00,15.53
2022.05.17 14:00:00,24.44
2022.05.17 14:00:00,24.44
2022.05.17 15:00:00,72.9
2022.05.17 15:00:00,10.86
2022.05.17 15:00:00,-31.38
2022.05.17 15:00:00,-23.79
2022.05.23 12:00:00,18.3
2022.06.01 18:00:00,8.64
2022.06.01 18:00:00,8.64
2022.06.01 19:00:00,32.76
2022.06.01 19:00:00,0.09
2022.06.01 19:00:00,-15.48
2022.06.10 15:00:00,15.73
2022.06.30 14:00:00,15.86
2022.07.05 12:46:30,-40.59
2022.07.06 14:53:21,-124.4
2022.07.11 16:49:06,-141.36
2022.07.18 13:00:00,-10.21
2022.07.18 13:00:00,1.46
2022.07.18 13:00:00,14.74
2022.07.18 13:00:00,-10.21
2022.07.18 13:00:00,1.46
2022.07.18 13:00:00,14.74
2022.07.18 18:00:00,55.86
2022.07.18 18:00:00,16.02
2022.07.18 18:00:00,-18.99
2022.07.20 21:00:00,27.42
2022.07.20 21:00:00,-1.29
2022.08.10 16:00:00,17.15
2022.08.18 21:00:00,15.38
2022.08.23 09:37:08,-74.88
2022.08.23 17:00:00,-4.24
2022.08.23 17:00:00,15.16
2022.08.23 17:00:00,-4.24
2022.08.23 17:00:00,15.16
2022.08.25 10:00:00,8.9
2022.08.26 16:00:00,11.14
2022.08.26 17:00:00,43.11
2022.08.26 17:00:00,7.65
2022.08.26 17:00:00,-18.08
2022.09.05 03:00:00,15.63
2022.09.09 11:00:00,16.36
2022.09.13 16:00:00,27.57
2022.09.13 16:00:00,-4.16
2022.09.29 18:00:00,13.16
2022.09.29 18:00:00,13.16
2022.09.30 00:02:30,55.89
2022.09.30 00:02:30,-3.96
2022.09.30 00:02:30,-21.8
2022.10.06 22:00:00,24.39
2022.10.06 22:00:00,-9.14
2022.10.13 21:00:00,23.4
2022.10.13 21:00:00,-5.94
2022.10.25 17:00:00,19.32
2022.10.27 18:00:00,7.75
2022.10.27 19:00:00,9.17
2022.10.27 22:00:00,33.9
2022.10.27 22:00:00,-2.82
2022.10.27 22:00:00,-12.17
2022.11.04 17:00:00,29.31
2022.11.04 17:00:00,-10.64
2022.11.10 16:00:00,16.07
2022.11.15 12:37:54,-57.93
2022.11.15 15:34:00,-129.78
2022.11.15 21:00:00,-6.58
2022.11.15 21:00:00,11.74
2022.11.15 21:00:00,-6.58
2022.11.15 21:00:00,11.74
2022.11.15 21:00:00,35.22
2022.11.15 21:00:00,-19.74
2022.11.24 02:00:00,15.77
2022.12.13 16:22:06,-32.46
2023.01.03 11:00:00,26.88
2023.01.03 11:00:00,-8.79
2023.01.09 16:00:00,17.31
2023.01.31 11:00:00,9.0
2023.01.31 11:00:00,9.0
2023.02.01 22:00:00,17.28
2023.02.02 01:17:39,-85.14
2023.02.03 23:00:00,30.0
2023.02.03 23:00:00,-15.73
2023.02.17 14:00:00,15.09
2023.02.28 16:00:00,-0.46
2023.02.28 16:00:00,18.08
2023.02.28 16:00:00,-0.46
2023.02.28 16:00:00,18.08
2023.03.01 13:00:00,12.77
2023.03.01 13:00:00,12.77
