"ea","symbol","tf","full_pf","full_trades","full_net","full_dd_pct","note"
"RSI","EURUSD","H1",2.59,149.0,277.57,1.99,
"RSI","USDJPY","H1",0.08,14.0,-87.83,1.1,
"RSI","GBPUSD","H1",3.09,71.0,134.59,1.24,
"RSI","USDCAD","H1",0.26,17.0,-49.92,1.17,
"RSI","CHFJPY","H1",9.68,56.0,64.87,0.14,
"RSI","EURGBP","H1",7.29,9.0,14.97,0.08,
"RSI","EURCHF","H1",47.61,8.0,14.52,0.12,
"RSI","AUDUSD","H1",3.75,171.0,315.76,0.73,
"RSI","AUDCAD","H1",4.45,191.0,280.93,0.92,
"RSI","XAUUSD","H1",40.78,724.0,3390.51,0.61,
"RSI","EURUSD","M15",2.65,167.0,320.56,2.21,
"RSI","EURUSD","M30",2.48,154.0,297.39,2.85,
"RSI","EURUSD","H4",2.83,142.0,282.67,1.92,
