"sl","tp","window","pf","dd_pct","trades"
1,3,"BWD",2.36,0.34,36.0
1,3,"FWD",1.18,1.71,29.0
1,4,"BWD",1.84,0.44,36.0
1,4,"FWD",1.33,2.0,29.0
1,5,"BWD",2.07,0.43,36.0
1,5,"FWD",1.65,1.69,29.0
1.5,3,"BWD",1.69,0.52,36.0
1.5,3,"FWD",1.17,2.11,29.0
1.5,4,"BWD",1.34,0.63,36.0
1.5,4,"FWD",1.35,2.34,29.0
1.5,5,"BWD",1.52,0.63,36.0
1.5,5,"FWD",1.51,2.24,29.0
2,3,"BWD",1.36,0.76,36.0
2,3,"FWD",1.07,2.77,29.0
2,4,"BWD",1.08,0.73,36.0
2,4,"FWD",1.04,3.23,29.0
2,5,"BWD",1.22,0.72,36.0
2,5,"FWD",1.16,2.8,29.0
