"ea","symbol","tf","full_pf","full_trades","full_net","full_dd_pct","note"
"swb","EURUSD","H1",2.53,176.0,1280.71,6.88,
"swb","USDJPY","H1",2.88,161.0,1126.79,3.14,
"swb","GBPUSD","H1",2.82,222.0,1805.06,10.15,
"swb","USDCAD","H1",1.33,114.0,445.67,23.93,
"swb","CHFJPY","H1",2.98,243.0,2104.38,8.66,
"swb","EURGBP","H1",2.65,65.0,366.36,3.25,
"swb","EURCHF","H1",2.76,87.0,589.9,2.66,
"swb","AUDUSD","H1",3.3,164.0,1139.7,5.04,
"swb","AUDCAD","H1",3.25,158.0,1098.46,5.78,
"swb","XAUUSD","H1",23.1,1560.0,100167.7,5.89,
"swb","EURUSD","M15",2.0,353.0,1962.71,10.75,
"swb","EURUSD","M30",2.79,258.0,1720.26,8.33,
"swb","EURUSD","H4",3.35,100.0,835.11,2.18,
