"tp","converge","window","pf","dd_pct","trades"
3,"true","BWD",1.07,1.49,185.0
3,"true","FWD",0.94,4.07,87.0
3,"false","BWD",0.93,3.9,520.0
3,"false","FWD",1.03,10.05,246.0
4,"true","BWD",1.0,1.3,181.0
4,"true","FWD",1.08,3.15,84.0
4,"false","BWD",0.9,4.12,471.0
4,"false","FWD",1.23,8.14,227.0
5,"true","BWD",1.12,1.29,162.0
5,"true","FWD",1.02,5.16,81.0
5,"false","BWD",0.99,2.27,433.0
5,"false","FWD",1.15,8.17,207.0
6,"true","BWD",1.2,1.29,157.0
6,"true","FWD",1.04,4.78,81.0
6,"false","BWD",1.04,2.24,406.0
6,"false","FWD",1.11,7.38,196.0
