adxmin,sepatr,chatr,main_pf,main_tr,main_net,bwd_pf,bwd_tr,bwd_net,candidate
20,0.3,2,1.5,128,632.46,1.02,159,20.95,YES
20,0.3,2.5,1.68,116,884.49,1,144,2.56,YES
20,0.3,3,1.81,99,1036.37,1.1,126,104.49,YES
20,0.5,2,1.36,125,453.68,1.07,153,66.21,YES
20,0.5,2.5,1.63,112,802.26,1.03,139,32.93,YES
20,0.5,3,1.74,95,915.88,1.15,120,153.94,YES
20,0.8,2,1.41,110,470.25,0.98,137,-13.85,no
20,0.8,2.5,1.7,98,806.87,0.93,127,-62.38,no
20,0.8,3,1.84,83,932.09,1.05,112,45.77,YES
25,0.3,2,1.44,76,355.48,0.86,98,-90.43,no
25,0.3,2.5,1.72,75,652.08,0.8,88,-139.53,no
25,0.3,3,1.57,69,591.11,0.97,80,-23.98,no
25,0.5,2,1.37,74,294.30,0.9,95,-59.75,no
25,0.5,2.5,1.77,72,681.57,0.84,85,-101.62,no
25,0.5,3,1.58,66,576.46,1.03,77,19.43,YES
25,0.8,2,1.48,66,351.99,0.7,84,-171.06,no
25,0.8,2.5,1.87,64,701.42,0.64,77,-230.47,no
25,0.8,3,1.72,58,638.96,0.87,70,-91.75,no
30,0.3,2,0.84,42,-86.80,0.89,53,-44.52,no
30,0.3,2.5,1.51,44,299.12,0.78,51,-99.49,no
30,0.3,3,1.22,42,163.19,0.7,48,-170.21,no
30,0.5,2,0.84,42,-86.80,0.92,51,-28.06,no
30,0.5,2.5,1.51,44,299.12,0.82,49,-75.80,no
30,0.5,3,1.22,42,163.19,0.74,46,-141.02,no
30,0.8,2,0.86,40,-72.83,0.71,46,-101.84,no
30,0.8,2.5,1.57,42,324.69,0.65,45,-150.40,no
30,0.8,3,1.29,40,200.37,0.62,42,-199.50,no
