adxmax,sweepatr,tpatr,main_pf,main_tr,main_net,bwd_pf,bwd_tr,bwd_net,candidate
22,0.3,1.2,1.3,74,49.84,0.88,72,-17.91,no
22,0.3,1.8,1.54,73,100.11,0.74,71,-49.12,no
22,0.3,2.5,1.7,73,146.36,0.67,71,-69.79,no
22,0.5,1.2,1.53,42,51.42,0.89,50,-11.15,no
22,0.5,1.8,1.85,42,94.74,0.73,50,-34.75,no
22,0.5,2.5,1.45,42,68.27,0.65,50,-52.97,no
28,0.3,1.2,1.19,149,70.31,0.89,130,-30.58,no
28,0.3,1.8,1.31,146,132.65,0.88,124,-39.04,no
28,0.3,2.5,1.27,146,134.25,0.82,123,-63.57,no
28,0.5,1.2,1.49,94,111.01,0.82,82,-34.08,no
28,0.5,1.8,1.75,93,197.25,0.84,82,-34.08,no
28,0.5,2.5,1.49,93,162.82,0.91,82,-22.47,no
35,0.3,1.2,0.98,215,-14.04,0.79,178,-86.51,no
35,0.3,1.8,1.1,211,78.10,0.78,172,-102.60,no
35,0.3,2.5,0.98,211,-17.76,0.75,171,-136.59,no
35,0.5,1.2,1.05,125,18.99,0.75,118,-75.34,no
35,0.5,1.8,1.27,124,126.76,0.75,118,-89.68,no
35,0.5,2.5,0.97,124,-19.36,0.76,118,-95.36,no
